segment,original,gandolfo,confidence
1,2BR02B,2 B R 0 2 B,0.171489
2,Everything was perfectly swell.,Todo estaba perfectamente fantástico.,0.066865
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.","No había prisiones, ni tugurios, ni asilos para locos, ni lisiados, ni pobreza, ni guerras.",0.075737
4,All diseases were conquered.,Se había derrotado todas las enfermedades.,0.111265
5,So was old age.,La vejez también.,0.194132
6,"Death, barring accidents, was an adventure for volunteers.","La muerte, de no ser por accidente, era una aventura para voluntarios.",0.162906
7,The population of the United States was stabilized at forty-million souls.,La población de Estados Unidos estaba estabilizada en cuarenta millones de almas.,0.044667
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.","Una brillante mañana en la maternidad del hospital de Chicago, un hombre llamado Edward K. Wehling, Jr. Esperaba que su esposa diera a luz.",0.067212
9,He was the only man waiting.,Era el único hombre en espera.,0.084759
10,Not many people were born a day any more.,Ya no nacían muchas personas por día.,0.167166
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.","Wehling tenía cincuenta y seis años, un auténtico mocoso en una población cuya edad promedio era de ciento veintinueve años.",0.180821
12,X-rays had revealed that his wife was going to have triplets.,Los rayos X habían revelado que su esposa iba a tener trillizos.,0.115829
13,The children would be his first.,Serían sus primeros hijos.,0.199872
14,"Young Wehling was hunched in his chair, his head in his hand.","El joven Wehling estaba encorvado en su silla, con la cabeza en la mano.",0.117845
15,"He was so rumpled, so still and colorless as to be virtually invisible.","Estaba tan arrugado, tan quieto y descolorido como para ser invisible por completo.",0.211028
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.","Su camuflaje era perfecto, porque la sala de espera también tenía un aspecto desordenado y desmoralizado.",0.083732
17,Chairs and ashtrays had been moved away from the walls.,Las sillas y los ceniceros habían sido sacados de junto a las paredes.,0.185903
18,The floor was paved with spattered dropcloths.,El suelo estaba salpicado de trapos para cubrir.,0.286501
19,The room was being redecorated.,Estaban redecorando el cuarto.,0.184348
20,It was being redecorated as a memorial to a man who had volunteered to die.,Lo estaban redecorando en memoria de un hombre que había muerto voluntariamente.,0.156978
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.","Un anciano sardónico, de unos doscientos años, estaba sentado sobre una escalera de tijera, pintando un mural que no le gustaba.",0.094364
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.","Allá en los viejos días cuando la gente envejecía de manera visible, su edad habría sido calculada en unos treinta y cinco años.",0.130696
23,Aging had touched him that much before the cure for aging was found.,La edad lo había tocado hasta ese punto antes de que se descubriera la cura contra el envejecimiento.,0.324546
24,The mural he was working on depicted a very neat garden.,El mural en el que estaba trabajando representaba un jardín muy limpio.,0.146538
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.","Hombres y mujeres de blanco, médicos y enfermeros, removían la tierra, plantaban semillas, fumigaban los insectos, desparramaban fertilizador.",0.095554
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.","Hombres y mujeres con uniformes color morado arrancaban hierbas, cortaban plantas que estaban viejas y enfermas, rastrillaban hojas secas, llevaban residuos a quemadores de basura.",0.106474
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.","Nunca, nunca, nunca –ni siquiera en la Holanda medieval o en el Japón antiguo- un jardín había sido tan formal, había estado mejor atendido.",0.064947
28,"Every plant had all the loam, light, water, air and nourishment it could use.","Cada planta tenía toda la tierra preparada, la luz, el agua y los nutrientes que podía usar.",0.130235
29,"A hospital orderly came down the corridor, singing under his breath a popular song:","Un ordenanza del hospital llegó por el corredor, cantando bajito una canción popular.",0.226663
30,"If you don't like my kisses, honey,","Si no te gustan mis besos, querida",0.067325
31,Here's what I will do:,Esto es lo que haré:,0.080944
32,"I'll go see a girl in purple,","Iré a ver una chica de morado,",0.221726
33,Kiss this sad world toodle-oo.,Le diré adiós a este triste mundo.,0.47004
34,"If you don't want my lovin',","Si no quieres mi amor,",0.209422
35,Why should I take up all this space?,¿Por qué ocupar todo este espacio?,0.140146
36,"I'll get off this old planet,","Me iré de este viejo planeta,",0.058455
37,Let some sweet baby have my place.,Y que una dulce nena ocupe mi lugar.,0.191147
38,The orderly looked in at the mural and the muralist.,El ordenanza se fijó en el mural y el muralista.,0.096129
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",-Parece tan real –dijo-. ~~~ Prácticamente puedo imaginar que estoy ahí.,0.261886
40,"What makes you think you're not in it?"""" said the painter.",-¿Qué te hace pensar que no estás ahí? ~~~ –dijo el pintor.,0.308916
41,He gave a satiric smile.,Le dirigió una sonrisa satírica-.,0.206021
42,"It's called 'The Happy Garden of Life,' you know.""""","Se llamaEl jardín feliz de la vida, sabes.",0.161369
43,"""That's good of Dr. Hitz,"" said the orderly.",-Está muy bien para el Dr. Hitz –dijo el ordenanza.,0.166017
44~~~45,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician. ~~~ Hitz was a blindingly handsome man.","Se estaba reﬁriendo a una de las ﬁguras masculinas de blanco, cuya cabeza era un retrato del Dr. Benjamin Hitz, el obstetra en jefe del hospital. ~~~ Hitz era un hombre apuesto hasta el encandilamiento.",0.066653
46,"Lot of faces still to fill in,"""" said the orderly.",-Todavía le quedan muchas caras por llenar –dijo el ordenanza.,0.196078
47,He meant that the faces of many of the figures in the mural were still blank.,Quería decir que muchas de las ﬁguras del mural seguían aún sin deﬁnir.,0.235968
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""","Todas las zonas en blanco debían ser llenadas con retrato de gente importante, ya fuera del personal del hospital o de la oﬁcina de Chicago del Federal Bureau of Termination (Oficina Federal de Liquidación).",0.114576
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",-Debe de ser muy lindo ser capaz de hacer imágenes que se parezcan a algo –dijo el ordenanza.,0.131754
50,The painter's face curdled with scorn.,La cara del pintor se cuajó de desdén.,0.189315
51,"You think I'm proud of this daub?"""" he said.",-¿Crees que estoy orgulloso de este mamarracho?,0.33201
52,"You think this is my idea of what life really looks like?""""""",–dijo-. ~~~ ¿Crees que ésta es mi idea de a qué se parece la vida?,0.225397
53,"""What's your idea of what life looks like?"" said the orderly.",-¿Cuál es su idea de a qué se parece la vida? ~~~ –dijo el ordenanza.,0.195506
54,The painter gestured at a foul dropcloth.,El pintor hizo un gesto hacia un trapo sucio.,0.318981
55,"There's a good picture of it,"""" he said.",-Ése es un buen ejemplo –dijo-.,0.513218
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",Enmarca eso y tendrás una maldita imagen más honesta que ésta.,0.140773
57,"""You're a gloomy old duck, aren't you?"" said the orderly.","-Eres un viejo perro lúgubre, ¿verdad? ~~~ –dijo el ordenanza.",0.252058
58,"""Is that a crime?"" said the painter.",-¿Eso es un crimen? ~~~ –dijo el pintor.,0.2394
59,The orderly shrugged.,El ordenanza se encogió de hombros.,0.282096
60~~~61~~~62,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call. ~~~ The zero in the telephone number he pronounced """"naught."""" ~~~ The number was: ""2 B R 0 2 B.""","-Si no te gusta estar aquí, abuelo –dijo, y terminó el pensamiento con el número telefónico con truco al que se suponía que tenía que llamar la gente que no deseaba vivir más-: 2 B R 0 2 B.",0.155442
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""","Era el número telefónico de una institución cuyos apodos ingeniosos incluían: “Autoservicio”, “Birdland”, “Conservas”, “Caja del gato”, “Despiojador”, “Salida fácil”, “Adiós, madre”, “Vándalo feliz”, “Bésame rápido”, “Suertudo Pedro”, “Antisarna”, “Embolia”, “Pare de llorar” y “¿Qué me importa?”.",0.118473
64~~~65,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination. ~~~ The painter thumbed his nose at the orderly.",“Ser o no ser” era el número telefónico de las cámaras de gas municipales del Federal Bureau of Termination. ~~~ El pintor le hizo pito catalán al ordenanza.,0.088918
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""","-Cuando decida que es hora de irme –dijo-, no será en el “Antisarna”. ~~~ -Hágalo usted mismo, ¿eh?",0.307215
67,"A do-it-yourselfer, eh?"""" said the orderly.",–dijo el ordenanza-.,0.528707
68,"Messy business, Grandpa.","Un asunto desprolijo, abuelo.",0.198019
69,"Why don't you have a little consideration for the people who have to clean up after you?""""",¿Por qué no tienes un poco de consideración por la gente que tendrá que limpiar después de ti?,0.119964
70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,El pintor expresó con una obscenidad su falta de preocupación por las tribulaciones de sus sobrevivientes.,0.030204
71,"The world could do with a good deal more mess, if you ask me,"""" he said.","-El mundo podría arreglárselas con mucho más desprolijidad, si quieres saber mi opinión- dijo.",0.244934
72,The orderly laughed and moved on.,El ordenanza se rió y siguió adelante.,0.133124
73,"Wehling, the waiting father, mumbled something without raising his head.","Wehling, el padre en espera, masculló algo sin alzar la cabeza.",0.159181
74,And then he fell silent again.,Y después volvió a quedarse en silencio.,0.095113
75,"A coarse, formidable woman strode into the waiting room on spike heels.","Una mujer tosca, imponente, entró caminando a la sala de espera sobre tacos de aguja.",0.217212
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""","Sus zapatos, medias, gabardina y gorra de ultramar eran todos color morado, el morado que el pintor llamaba “el color de las uvas el Día del Juicio Final”.",0.13942
