segment,sentence,classification,confidence
1,2BR02B,0,0.9885265827178955
2,Everything was perfectly swell.,1,0.9717621207237244
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.9599006175994873
4,All diseases were conquered.,0,0.9923015832901001
5,So was old age.,1,0.9606060981750488
6,"Death, barring accidents, was an adventure for volunteers.",1,0.995220959186554
7,The population of the United States was stabilized at forty-million souls.,0,0.9792149066925049
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",0,0.9868788123130798
9,He was the only man waiting.,0,0.9941040873527527
10,Not many people were born a day any more.,1,0.9780610799789429
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.998073935508728
12,X-rays had revealed that his wife was going to have triplets.,0,0.9509586691856384
13,The children would be his first.,0,0.9854564070701599
14,"Young Wehling was hunched in his chair, his head in his hand.",0,0.9903126955032349
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9982972741127014
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9974958300590515
17,Chairs and ashtrays had been moved away from the walls.,0,0.9938861727714539
18,The floor was paved with spattered dropcloths.,1,0.9861292243003845
19,The room was being redecorated.,0,0.9942288398742676
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9904815554618835
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9538983702659607
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9906085729598999
23,Aging had touched him that much before the cure for aging was found.,1,0.9965417981147766
24,The mural he was working on depicted a very neat garden.,0,0.992837131023407
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9878599047660828
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",0,0.9619128108024597
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9991673231124878
28,"Every plant had all the loam, light, water, air and nourishment it could use.",0,0.9898613691329956
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.5939136147499084
30,"If you don't like my kisses, honey,",1,0.9904497265815735
31,Here's what I will do:,0,0.9913029670715332
32,"I'll go see a girl in purple,",1,0.9153108596801758
33,Kiss this sad world toodle-oo.,1,0.9991025924682617
34,"If you don't want my lovin',",1,0.997814416885376
35,Why should I take up all this space?,0,0.9901837706565857
36,"I'll get off this old planet,",1,0.9982098340988159
37,Let some sweet baby have my place.,1,0.9981083869934082
38,The orderly looked in at the mural and the muralist.,0,0.9471921324729919
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.997812032699585
40,"What makes you think you're not in it?"""" said the painter.",1,0.9719119668006897
41,He gave a satiric smile.,0,0.9238684177398682
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.9969505071640015
43,"""That's good of Dr. Hitz,"" said the orderly.",0,0.9622614979743958
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.8336185216903687
45,Hitz was a blindingly handsome man.,1,0.996068000793457
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.9795501828193665
47,He meant that the faces of many of the figures in the mural were still blank.,0,0.9828868508338928
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1,0.9893549680709839
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1,0.9962570667266846
50,The painter's face curdled with scorn.,1,0.9988678693771362
51,"You think I'm proud of this daub?"""" he said.",1,0.9916645884513855
52,"You think this is my idea of what life really looks like?""""""",1,0.9471083879470825
53,"""What's your idea of what life looks like?"" said the orderly.",1,0.9175851345062256
54,The painter gestured at a foul dropcloth.,1,0.9785732626914978
55,"There's a good picture of it,"""" he said.",0,0.9877179861068726
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.9992269277572632
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.9967235922813416
58,"""Is that a crime?"" said the painter.",0,0.9901579022407532
59,The orderly shrugged.,0,0.9942734837532043
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1,0.9985352754592896
61,"The zero in the telephone number he pronounced """"naught.""""",1,0.9933083057403564
62,"The number was: ""2 B R 0 2 B.""",1,0.638373851776123
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1,0.9985857009887695
64,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.",1,0.998981773853302
65,The painter thumbed his nose at the orderly.,1,0.9817611575126648
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",1,0.9947576522827148
67,"A do-it-yourselfer, eh?"""" said the orderly.",1,0.9912243485450745
68,"Messy business, Grandpa.",1,0.9967595934867859
69,"Why don't you have a little consideration for the people who have to clean up after you?""""",1,0.984840452671051
70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,1,0.9949064254760742
71,"The world could do with a good deal more mess, if you ask me,"""" he said.",1,0.9842339158058167
72,The orderly laughed and moved on.,0,0.9941040873527527
73,"Wehling, the waiting father, mumbled something without raising his head.",0,0.9903951287269592
74,And then he fell silent again.,0,0.9939916729927063
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1,0.9965226650238037
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1,0.999294638633728
77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",1,0.9983726143836975
78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.",1,0.9681347608566284
79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",1,0.9985432624816895
80,"Is this where I'm supposed to come?"""" she said to the painter.",0,0.9665520787239075
81,"A lot would depend on what your business was,"""" he said.",0,0.9850890040397644
82,"You aren't about to have a baby, are you?""""",0,0.9488441944122314
83,"They told me I was supposed to pose for some picture,"""" she said.",0,0.967146635055542
84,"My name's Leora Duncan.""",0,0.9794538617134094
85,She waited.,0,0.9945940375328064
86,"""And you dunk people,"" he said.",1,0.9773489832878113
87,"""What?"" she said.",0,0.9937813878059387
88,"""Skip it,"" he said.",0,0.9890923500061035
89,"That sure is a beautiful picture,"""" she said.",0,0.942039966583252
90,"Looks just like heaven or something.""""",1,0.9969863295555115
91,"Or something,"""" said the painter.",0,0.8296720385551453
92,He took a list of names from his smock pocket.,0,0.9928463101387024
93,"Duncan, Duncan, Duncan,"""" he said, scanning the list.",1,0.746807336807251
94,Yes—here you are.,0,0.982257068157196
95,You're entitled to be immortalized.,1,0.99552321434021
96,See any faceless body here you'd like me to stick your head on?,1,0.9983707070350647
97,We've got a few choice ones left.,1,0.9534258842468262
98,She studied the mural bleakly.,0,0.9733277559280396
99,"Gee,"""" she said, """"they're all the same to me.",1,0.9873924851417542
100,"I don't know anything about art.""""",0,0.9648039937019348
101,"A body's a body, eh?"""" he said, ""All righty.",1,0.9979541301727295
102,"As a master of fine art, I recommend this body here.""""",1,0.9950982928276062
103,He indicated a faceless figure of a woman who was carrying dried stalks to a trash-burner.,1,0.9428392648696899
104,"Well,"""" said Leora Duncan, """"that's more the disposal people, isn't it?",1,0.9968975782394409
105,"I mean, I'm in service.",1,0.995331346988678
106,I don't do any disposing.,0,0.987139880657196
107,The painter clapped his hands in mock delight.,1,0.7039915323257446
108,"You say you don't know anything about art, and then you prove in the next breath that you know more about it than I do!""""",1,0.9972238540649414
109,Of course the sheave-carrier is wrong for a hostess!,1,0.9991156458854675
110,"A snipper, a pruner—that's more your line.",1,0.9988740086555481
111,He pointed to a figure in purple who was sawing a dead branch from an apple tree.,0,0.9855123162269592
112,"How about her?"""" he said. ",0,0.9883825182914734
113,"You like her at all?""""",0,0.9786900877952576
