segment,sentence,classification,confidence
1,2BR02B,0,0.9881730675697327
2,Everything was perfectly swell.,0,0.9676641821861267
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",0,0.8601217865943909
4,All diseases were conquered.,0,0.9981828331947327
5,So was old age.,0,0.9980461597442627
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9863228797912598
7,The population of the United States was stabilized at forty-million souls.,0,0.990050196647644
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",0,0.9842466115951538
9,He was the only man waiting.,0,0.9985073208808899
10,Not many people were born a day any more.,0,0.6131131649017334
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",0,0.9207616448402405
12,X-rays had revealed that his wife was going to have triplets.,0,0.995560884475708
13,The children would be his first.,0,0.9970589876174927
14,"Young Wehling was hunched in his chair, his head in his hand.",0,0.9943668246269226
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9981204867362976
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9979379773139954
17,Chairs and ashtrays had been moved away from the walls.,0,0.9971965551376343
18,The floor was paved with spattered dropcloths.,0,0.9591178894042969
19,The room was being redecorated.,0,0.9981278777122498
20,It was being redecorated as a memorial to a man who had volunteered to die.,0,0.9937264919281006
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9864029884338379
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.7731718420982361
23,Aging had touched him that much before the cure for aging was found.,0,0.9366198182106018
24,The mural he was working on depicted a very neat garden.,0,0.9971586465835571
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9932687878608704
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",0,0.9624456763267517
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9993895292282104
28,"Every plant had all the loam, light, water, air and nourishment it could use.",0,0.9891164898872375
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9956138134002686
30,"If you don't like my kisses, honey,",1,0.9991967082023621
31,Here's what I will do:,0,0.9967945218086243
32,"I'll go see a girl in purple,",1,0.9977045655250549
33,Kiss this sad world toodle-oo.,1,0.9995005130767822
34,"If you don't want my lovin',",1,0.9992721676826477
35,Why should I take up all this space?,0,0.9924301505088806
36,"I'll get off this old planet,",1,0.9956353306770325
37,Let some sweet baby have my place.,1,0.9955931305885315
38,The orderly looked in at the mural and the muralist.,0,0.9955354928970337
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9994280934333801
40,"What makes you think you're not in it?"""" said the painter.",1,0.9926261305809021
41,He gave a satiric smile.,1,0.9888063669204712
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.9992669224739075
43,"""That's good of Dr. Hitz,"" said the orderly.",0,0.9949761629104614
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.9403954744338989
45,Hitz was a blindingly handsome man.,1,0.9687018990516663
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.9927403330802917
47,He meant that the faces of many of the figures in the mural were still blank.,0,0.9838851690292358
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",0,0.8555536866188049
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1,0.9967740178108215
50,The painter's face curdled with scorn.,1,0.9993230104446411
51,"You think I'm proud of this daub?"""" he said.",1,0.998028576374054
52,"You think this is my idea of what life really looks like?""""""",1,0.9948909282684326
53,"""What's your idea of what life looks like?"" said the orderly.",0,0.6427410840988159
54,The painter gestured at a foul dropcloth.,0,0.9926325678825378
55,"There's a good picture of it,"""" he said.",0,0.9749352335929871
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.9997648596763611
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.9990900754928589
58,"""Is that a crime?"" said the painter.",0,0.9858072996139526
59,The orderly shrugged.,0,0.9983536005020142
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1,0.99977046251297
61,"The zero in the telephone number he pronounced """"naught.""""",1,0.9986231327056885
62,"The number was: ""2 B R 0 2 B.""",0,0.9466131329536438
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1,0.9996775388717651
64,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.",1,0.9995054006576538
65,The painter thumbed his nose at the orderly.,1,0.9960801005363464
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",1,0.998953104019165
67,"A do-it-yourselfer, eh?"""" said the orderly.",1,0.9991998076438904
68,"Messy business, Grandpa.",1,0.9574824571609497
69,"Why don't you have a little consideration for the people who have to clean up after you?""""",1,0.988905668258667
70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,1,0.9986581802368164
71,"The world could do with a good deal more mess, if you ask me,"""" he said.",1,0.9962514042854309
72,The orderly laughed and moved on.,0,0.9980065226554871
73,"Wehling, the waiting father, mumbled something without raising his head.",0,0.994604766368866
74,And then he fell silent again.,0,0.9980505704879761
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1,0.9990963935852051
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1,0.999687671661377
77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",1,0.9994159936904907
78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.",1,0.983486533164978
79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",1,0.9992138147354126
80,"Is this where I'm supposed to come?"""" she said to the painter.",1,0.8085185289382935
81,"A lot would depend on what your business was,"""" he said.",0,0.990784764289856
82,"You aren't about to have a baby, are you?""""",1,0.9373115301132202
83,"They told me I was supposed to pose for some picture,"""" she said.",0,0.8255096077919006
84,"My name's Leora Duncan.""",0,0.9678480625152588
85,She waited.,0,0.998680055141449
86,"""And you dunk people,"" he said.",1,0.9921220541000366
87,"""What?"" she said.",0,0.9965845346450806
88,"""Skip it,"" he said.",0,0.9975551962852478
89,"That sure is a beautiful picture,"""" she said.",1,0.9914661645889282
