segment,sentence,classification,confidence
1,2BR02B,0,0.9191471338272095
2,Everything was perfectly swell.,1,0.9079572558403015
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.5581230521202087
4,All diseases were conquered.,0,0.9603816270828247
5,So was old age.,0,0.9753082990646362
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9654991626739502
7,The population of the United States was stabilized at forty-million souls.,0,0.9726079106330872
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",0,0.9061328172683716
9,He was the only man waiting.,0,0.9884459972381592
10,Not many people were born a day any more.,1,0.5491212010383606
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.8203335404396057
12,X-rays had revealed that his wife was going to have triplets.,0,0.9275515079498291
13,The children would be his first.,0,0.9794266223907471
14,"Young Wehling was hunched in his chair, his head in his hand.",0,0.9204713702201843
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9912598729133606
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9834761619567871
17,Chairs and ashtrays had been moved away from the walls.,0,0.9820417165756226
18,The floor was paved with spattered dropcloths.,1,0.9423528909683228
19,The room was being redecorated.,0,0.9867516756057739
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.5212931632995605
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9832119345664978
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.6454116106033325
23,Aging had touched him that much before the cure for aging was found.,0,0.7660486698150635
24,The mural he was working on depicted a very neat garden.,0,0.925836443901062
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9042006134986877
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.6580147743225098
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9871832132339478
28,"Every plant had all the loam, light, water, air and nourishment it could use.",0,0.7760271430015564
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.8260987401008606
30,"If you don't like my kisses, honey,",1,0.8298658728599548
31,Here's what I will do:,0,0.9836091995239258
32,"I'll go see a girl in purple,",1,0.943902850151062
33,Kiss this sad world toodle-oo.,1,0.9915229082107544
34,"If you don't want my lovin',",1,0.9608299136161804
35,Why should I take up all this space?,0,0.9785153865814209
36,"I'll get off this old planet,",1,0.9390711188316345
37,Let some sweet baby have my place.,1,0.9799641966819763
38,The orderly looked in at the mural and the muralist.,0,0.9612493515014648
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9206159114837646
40,"What makes you think you're not in it?"""" said the painter.",0,0.9390191435813904
41,He gave a satiric smile.,1,0.923947274684906
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.793484091758728
43,"""That's good of Dr. Hitz,"" said the orderly.",0,0.9770734310150146
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",0,0.5860452055931091
45,Hitz was a blindingly handsome man.,1,0.9852102398872375
46,"Lot of faces still to fill in,"""" said the orderly.",0,0.833593487739563
47,He meant that the faces of many of the figures in the mural were still blank.,0,0.9613931179046631
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",0,0.5403504371643066
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1,0.7855522632598877
50,The painter's face curdled with scorn.,1,0.9913793802261353
51,"You think I'm proud of this daub?"""" he said.",0,0.8364288210868835
52,"You think this is my idea of what life really looks like?""""""",0,0.8550625443458557
53,"""What's your idea of what life looks like?"" said the orderly.",0,0.9756297469139099
54,The painter gestured at a foul dropcloth.,1,0.8187479376792908
55,"There's a good picture of it,"""" he said.",0,0.9688234329223633
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.9878069758415222
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.9798865914344788
58,"""Is that a crime?"" said the painter.",0,0.9812256693840027
59,The orderly shrugged.,0,0.9730210304260254
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1,0.9531074166297913
