segment,sentence,classification,confidence
1,2BR02B,1,0.7582966089248657
2,Everything was perfectly swell.,1,0.9480950236320496
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.9404083490371704
4,All diseases were conquered.,1,0.8890349864959717
5,So was old age.,1,0.869691789150238
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9668599963188171
7,The population of the United States was stabilized at forty-million souls.,1,0.9581937789916992
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.9689850211143494
9,He was the only man waiting.,1,0.9314758777618408
10,Not many people were born a day any more.,1,0.9555965662002563
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9779256582260132
12,X-rays had revealed that his wife was going to have triplets.,1,0.9489369988441467
13,The children would be his first.,1,0.925970733165741
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.9699130058288574
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9779882431030273
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9911512732505798
17,Chairs and ashtrays had been moved away from the walls.,1,0.9536835551261902
18,The floor was paved with spattered dropcloths.,1,0.9788909554481506
19,The room was being redecorated.,1,0.914719820022583
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9631884694099426
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.990683913230896
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9762367606163025
23,Aging had touched him that much before the cure for aging was found.,1,0.9675840139389038
24,The mural he was working on depicted a very neat garden.,1,0.9711908102035522
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9812734127044678
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9900059103965759
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.973708987236023
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9630516171455383
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9817573428153992
30,"If you don't like my kisses, honey,",1,0.9583247900009155
31,Here's what I will do:,1,0.9153439402580261
32,"I'll go see a girl in purple,",1,0.948574960231781
33,Kiss this sad world toodle-oo.,1,0.9801570177078247
34,"If you don't want my lovin',",1,0.9449036717414856
35,Why should I take up all this space?,1,0.9004455804824829
36,"I'll get off this old planet,",1,0.9449116587638855
37,Let some sweet baby have my place.,1,0.9742607474327087
38,The orderly looked in at the mural and the muralist.,1,0.9719712138175964
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9752081632614136
40,"What makes you think you're not in it?"""" said the painter.",1,0.9530777335166931
41,He gave a satiric smile.,1,0.9560389518737793
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.9570587873458862
43,"""That's good of Dr. Hitz,"" said the orderly.",1,0.9427276253700256
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.9838341474533081
45,Hitz was a blindingly handsome man.,1,0.9519869089126587
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.9520917534828186
47,He meant that the faces of many of the figures in the mural were still blank.,1,0.9598877429962158
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1,0.988534152507782
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1,0.9508441090583801
50,The painter's face curdled with scorn.,1,0.9808546304702759
51,"You think I'm proud of this daub?"""" he said.",1,0.9512446522712708
52,"You think this is my idea of what life really looks like?""""""",1,0.9244950413703918
53,"""What's your idea of what life looks like?"" said the orderly.",1,0.9343135356903076
54,The painter gestured at a foul dropcloth.,1,0.97423255443573
55,"There's a good picture of it,"""" he said.",1,0.948971152305603
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.9790640473365784
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.9649111032485962
58,"""Is that a crime?"" said the painter.",1,0.8985024094581604
59,The orderly shrugged.,1,0.8935298919677734
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1,0.9848023056983948
61,"The zero in the telephone number he pronounced """"naught.""""",1,0.9522872567176819
62,"The number was: ""2 B R 0 2 B.""",1,0.9554499387741089
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1,0.992988646030426
64,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.",1,0.976539134979248
65,The painter thumbed his nose at the orderly.,1,0.9599277377128601
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",1,0.9650365114212036
67,"A do-it-yourselfer, eh?"""" said the orderly.",1,0.9604171514511108
68,"Messy business, Grandpa.",1,0.9349289536476135
69,"Why don't you have a little consideration for the people who have to clean up after you?""""",1,0.9529258608818054
70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,1,0.9815973043441772
71,"The world could do with a good deal more mess, if you ask me,"""" he said.",1,0.9603332281112671
72,The orderly laughed and moved on.,1,0.9433905482292175
73,"Wehling, the waiting father, mumbled something without raising his head.",1,0.9707998633384705
74,And then he fell silent again.,1,0.9160072803497314
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1,0.9911778569221497
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1,0.9836491346359253
77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",1,0.9892240166664124
78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.",1,0.9650941491127014
79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",1,0.9900022745132446
80,"Is this where I'm supposed to come?"""" she said to the painter.",1,0.9654818177223206
81,"A lot would depend on what your business was,"""" he said.",1,0.9385454058647156
82,"You aren't about to have a baby, are you?""""",1,0.9399277567863464
83,"They told me I was supposed to pose for some picture,"""" she said.",1,0.9570671916007996
84,"My name's Leora Duncan.""",1,0.8580549955368042
85,She waited.,1,0.8604118824005127
86,"""And you dunk people,"" he said.",1,0.8972678184509277
87,"""What?"" she said.",1,0.8380197882652283
88,"""Skip it,"" he said.",1,0.8502083420753479
89,"That sure is a beautiful picture,"""" she said.",1,0.9397880434989929
90,"Looks just like heaven or something.""""",1,0.9363868832588196
91,"Or something,"""" said the painter.",1,0.9089056849479675
92,He took a list of names from his smock pocket.,1,0.9634549021720886
93,"Duncan, Duncan, Duncan,"""" he said, scanning the list.",1,0.967927098274231
94,Yes—here you are.,1,0.8743000030517578
95,You're entitled to be immortalized.,1,0.9228088855743408
96,See any faceless body here you'd like me to stick your head on?,1,0.9680810570716858
97,We've got a few choice ones left.,1,0.9579369425773621
98,She studied the mural bleakly.,1,0.9757577776908875
99,"Gee,"""" she said, """"they're all the same to me.",1,0.9664690494537354
100,"I don't know anything about art.""""",1,0.9078385829925537
