segment,sentence,classification,confidence
1,2BR02B,1,0.8606388568878174
2,Everything was perfectly swell.,1,0.680033802986145
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.9530906081199646
4,All diseases were conquered.,1,0.7224818468093872
5,So was old age.,1,0.7239062786102295
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9528200626373291
7,The population of the United States was stabilized at forty-million souls.,1,0.9183961153030396
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.9721351861953735
9,He was the only man waiting.,1,0.7148275375366211
10,Not many people were born a day any more.,1,0.8726561665534973
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9880747199058533
12,X-rays had revealed that his wife was going to have triplets.,1,0.8722690343856812
13,The children would be his first.,1,0.7380727529525757
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.977260410785675
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9825519323348999
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9859973192214966
17,Chairs and ashtrays had been moved away from the walls.,1,0.9278688430786133
18,The floor was paved with spattered dropcloths.,1,0.9715767502784729
19,The room was being redecorated.,1,0.7255483865737915
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9437304735183716
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9855489134788513
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9690555334091187
23,Aging had touched him that much before the cure for aging was found.,1,0.9646461009979248
24,The mural he was working on depicted a very neat garden.,1,0.9357402324676514
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9888336658477783
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9910284876823425
