segment,sentence,classification,confidence
1,2BR02B,1,0.8320544362068176
2,Everything was perfectly swell.,1,0.8212565779685974
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.9623769521713257
4,All diseases were conquered.,1,0.7504134774208069
5,So was old age.,1,0.807832658290863
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9564306139945984
7,The population of the United States was stabilized at forty-million souls.,1,0.9584119319915771
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.965816080570221
9,He was the only man waiting.,1,0.8917413353919983
10,Not many people were born a day any more.,1,0.9492443203926086
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9686245322227478
12,X-rays had revealed that his wife was going to have triplets.,1,0.926206648349762
13,The children would be his first.,1,0.9188860058784485
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.9548271298408508
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9640477895736694
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.965796947479248
17,Chairs and ashtrays had been moved away from the walls.,1,0.9503306150436401
18,The floor was paved with spattered dropcloths.,1,0.9614000916481018
19,The room was being redecorated.,1,0.8523696064949036
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9547110795974731
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9692674875259399
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9640980958938599
23,Aging had touched him that much before the cure for aging was found.,1,0.969867467880249
24,The mural he was working on depicted a very neat garden.,1,0.95491623878479
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9704867601394653
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9698053598403931
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9692025780677795
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9626010656356812
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9574545621871948
30,"If you don't like my kisses, honey,",1,0.9113638997077942
31,Here's what I will do:,1,0.8506163954734802
32,"I'll go see a girl in purple,",1,0.924199640750885
33,Kiss this sad world toodle-oo.,1,0.9452704787254333
34,"If you don't want my lovin',",1,0.8459760546684265
35,Why should I take up all this space?,1,0.9100160598754883
36,"I'll get off this old planet,",1,0.9351997375488281
37,Let some sweet baby have my place.,1,0.9539483785629272
38,The orderly looked in at the mural and the muralist.,1,0.9625858068466187
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9444401264190674
40,"What makes you think you're not in it?"""" said the painter.",1,0.9327241778373718
41,He gave a satiric smile.,1,0.9229259490966797
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.9341232776641846
43,"""That's good of Dr. Hitz,"" said the orderly.",1,0.9432319402694702
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.969267725944519
45,Hitz was a blindingly handsome man.,1,0.9205222725868225
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.9246187210083008
47,He meant that the faces of many of the figures in the mural were still blank.,1,0.9580010771751404
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1,0.969515323638916
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1,0.9589737057685852
50,The painter's face curdled with scorn.,1,0.9503043293952942
51,"You think I'm proud of this daub?"""" he said.",1,0.8894206285476685
52,"You think this is my idea of what life really looks like?""""""",1,0.9366242289543152
53,"""What's your idea of what life looks like?"" said the orderly.",1,0.9529110193252563
54,The painter gestured at a foul dropcloth.,1,0.9565243124961853
55,"There's a good picture of it,"""" he said.",1,0.9465724229812622
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.9579477906227112
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.9532467126846313
58,"""Is that a crime?"" said the painter.",1,0.8852908611297607
59,The orderly shrugged.,1,0.7258036732673645
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1,0.975437581539154
61,"The zero in the telephone number he pronounced """"naught.""""",1,0.9489636421203613
62,"The number was: ""2 B R 0 2 B.""",1,0.9515726566314697
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1,0.9672800898551941
64,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.",1,0.9648607969284058
65,The painter thumbed his nose at the orderly.,1,0.9133193492889404
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",1,0.9411693811416626
67,"A do-it-yourselfer, eh?"""" said the orderly.",1,0.8840343356132507
68,"Messy business, Grandpa.",1,0.8474761843681335
69,"Why don't you have a little consideration for the people who have to clean up after you?""""",1,0.917116641998291
70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,1,0.9641525149345398
71,"The world could do with a good deal more mess, if you ask me,"""" he said.",1,0.9359095692634583
72,The orderly laughed and moved on.,1,0.9055702686309814
73,"Wehling, the waiting father, mumbled something without raising his head.",1,0.9438644051551819
74,And then he fell silent again.,1,0.8972595930099487
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1,0.9645007252693176
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1,0.9673523902893066
77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",1,0.9710453152656555
78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.",1,0.9521011114120483
79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",1,0.9693112969398499
80,"Is this where I'm supposed to come?"""" she said to the painter.",1,0.9537414312362671
81,"A lot would depend on what your business was,"""" he said.",1,0.8476027250289917
82,"You aren't about to have a baby, are you?""""",1,0.8468326330184937
83,"They told me I was supposed to pose for some picture,"""" she said.",1,0.9415134191513062
84,"My name's Leora Duncan.""",1,0.7408844828605652
85,She waited.,1,0.6078969836235046
86,"""And you dunk people,"" he said.",1,0.9096753001213074
87,"""What?"" she said.",1,0.7041187882423401
88,"""Skip it,"" he said.",1,0.8302075266838074
89,"That sure is a beautiful picture,"""" she said.",1,0.9124608039855957
90,"Looks just like heaven or something.""""",1,0.9179798364639282
91,"Or something,"""" said the painter.",1,0.8722131848335266
92,He took a list of names from his smock pocket.,1,0.9530856609344482
93,"Duncan, Duncan, Duncan,"""" he said, scanning the list.",1,0.8950097560882568
94,Yes—here you are.,1,0.8183377981185913
95,You're entitled to be immortalized.,1,0.8727842569351196
96,See any faceless body here you'd like me to stick your head on?,1,0.9435511827468872
97,We've got a few choice ones left.,1,0.9279685020446777
98,She studied the mural bleakly.,1,0.9295246601104736
99,"Gee,"""" she said, """"they're all the same to me.",1,0.9550254940986633
100,"I don't know anything about art.""""",1,0.8676303029060364
101,"A body's a body, eh?"""" he said, ""All righty.",1,0.9643310904502869
102,"As a master of fine art, I recommend this body here.""""",1,0.955392062664032
103,He indicated a faceless figure of a woman who was carrying dried stalks to a trash-burner.,1,0.9659698605537415
104,"Well,"""" said Leora Duncan, """"that's more the disposal people, isn't it?",1,0.963468074798584
105,"I mean, I'm in service.",1,0.9205592274665833
106,I don't do any disposing.,1,0.8721107840538025
107,The painter clapped his hands in mock delight.,1,0.9429882764816284
108,"You say you don't know anything about art, and then you prove in the next breath that you know more about it than I do!""""",1,0.9624782204627991
109,Of course the sheave-carrier is wrong for a hostess!,1,0.9516674876213074
110,"A snipper, a pruner—that's more your line.",1,0.944312334060669
111,He pointed to a figure in purple who was sawing a dead branch from an apple tree.,1,0.9630816578865051
112,"How about her?"""" he said. ",1,0.8558545708656311
113,"You like her at all?""""",1,0.7047869563102722
114,"""Gosh—"" she said, and she blushed and became humble—""that—that puts me right next to Dr. Hitz.""",1,0.9668166637420654
115,"""That upsets you?"" he said.",1,0.8350469470024109
116,"""Good gravy, no!"" she said.",1,0.877783477306366
117,"""It's—it's just such an honor.""",1,0.9043349027633667
118,"""Ah, You... you admire him, eh?"" he said.",1,0.9428765773773193
