segment,sentence,classification,confidence
1,2BR02B,1,0.9415438771247864
2,Everything was perfectly swell.,1,0.5225805044174194
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.9761391282081604
4,All diseases were conquered.,1,0.7106370329856873
5,So was old age.,1,0.8999982476234436
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9701477885246277
7,The population of the United States was stabilized at forty-million souls.,1,0.9062772393226624
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.9732354283332825
9,He was the only man waiting.,1,0.9386692047119141
10,Not many people were born a day any more.,1,0.93610018491745
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9816365838050842
12,X-rays had revealed that his wife was going to have triplets.,1,0.9450521469116211
13,The children would be his first.,1,0.9463866949081421
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.982604444026947
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9840337038040161
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9830190539360046
17,Chairs and ashtrays had been moved away from the walls.,1,0.9794115424156189
18,The floor was paved with spattered dropcloths.,1,0.9808660745620728
19,The room was being redecorated.,1,0.8472334742546082
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.978653073310852
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9812330007553101
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9810949563980103
23,Aging had touched him that much before the cure for aging was found.,1,0.9819443225860596
24,The mural he was working on depicted a very neat garden.,1,0.9659234881401062
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9814860224723816
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9837633371353149
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9803871512413025
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9789841771125793
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9720391035079956
30,"If you don't like my kisses, honey,",1,0.9487813711166382
31,Here's what I will do:,1,0.5521041750907898
32,"I'll go see a girl in purple,",1,0.9360232949256897
33,Kiss this sad world toodle-oo.,1,0.9575235247612
34,"If you don't want my lovin',",1,0.9561061859130859
35,Why should I take up all this space?,1,0.604923665523529
36,"I'll get off this old planet,",1,0.9242815971374512
37,Let some sweet baby have my place.,1,0.9706973433494568
38,The orderly looked in at the mural and the muralist.,1,0.9689899682998657
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.976269543170929
40,"What makes you think you're not in it?"""" said the painter.",1,0.958604633808136
41,He gave a satiric smile.,1,0.966742217540741
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.9483484625816345
43,"""That's good of Dr. Hitz,"" said the orderly.",1,0.7099791169166565
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.9814545512199402
45,Hitz was a blindingly handsome man.,1,0.6607599854469299
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.9182170629501343
47,He meant that the faces of many of the figures in the mural were still blank.,1,0.9715201258659363
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1,0.9807042479515076
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1,0.9267187118530273
50,The painter's face curdled with scorn.,1,0.9743980169296265
51,"You think I'm proud of this daub?"""" he said.",1,0.9015004634857178
52,"You think this is my idea of what life really looks like?""""""",1,0.9278498888015747
53,"""What's your idea of what life looks like?"" said the orderly.",1,0.888719916343689
54,The painter gestured at a foul dropcloth.,1,0.9720280766487122
55,"There's a good picture of it,"""" he said.",1,0.9507958889007568
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.9789196252822876
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.943884015083313
58,"""Is that a crime?"" said the painter.",1,0.5172586441040039
59,The orderly shrugged.,1,0.8475269079208374
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1,0.9853970408439636
61,"The zero in the telephone number he pronounced """"naught.""""",1,0.9664070010185242
62,"The number was: ""2 B R 0 2 B.""",1,0.9217262268066406
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1,0.9818930625915527
