segment,sentence,classification,confidence
1,2BR02B,0,0.7714343667030334
2,Everything was perfectly swell.,1,0.9112036228179932
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",0,0.9208662509918213
4,All diseases were conquered.,0,0.9080345034599304
5,So was old age.,0,0.9025324583053589
6,"Death, barring accidents, was an adventure for volunteers.",0,0.9225947856903076
7,The population of the United States was stabilized at forty-million souls.,0,0.9151113629341125
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",0,0.9157242178916931
9,He was the only man waiting.,0,0.876305341720581
10,Not many people were born a day any more.,0,0.9221621751785278
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",0,0.9135885834693909
12,X-rays had revealed that his wife was going to have triplets.,0,0.910175621509552
13,The children would be his first.,0,0.8226448893547058
14,"Young Wehling was hunched in his chair, his head in his hand.",0,0.9139239192008972
15,"He was so rumpled, so still and colorless as to be virtually invisible.",0,0.7778804302215576
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",0,0.8752583265304565
17,Chairs and ashtrays had been moved away from the walls.,0,0.9287661910057068
18,The floor was paved with spattered dropcloths.,1,0.6949718594551086
19,The room was being redecorated.,0,0.8542068004608154
20,It was being redecorated as a memorial to a man who had volunteered to die.,0,0.920910120010376
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",0,0.9243514537811279
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",0,0.9242963790893555
23,Aging had touched him that much before the cure for aging was found.,0,0.9204036593437195
24,The mural he was working on depicted a very neat garden.,0,0.8860728740692139
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",0,0.9350225329399109
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",0,0.9339938759803772
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",0,0.9171336889266968
28,"Every plant had all the loam, light, water, air and nourishment it could use.",0,0.9220643043518066
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",0,0.9221446514129639
30,"If you don't like my kisses, honey,",0,0.8292526006698608
31,Here's what I will do:,0,0.8390483856201172
32,"I'll go see a girl in purple,",0,0.8990994691848755
33,Kiss this sad world toodle-oo.,0,0.5476494431495667
34,"If you don't want my lovin',",1,0.6374682784080505
35,Why should I take up all this space?,0,0.8425593972206116
36,"I'll get off this old planet,",0,0.9058393836021423
37,Let some sweet baby have my place.,0,0.8496555089950562
38,The orderly looked in at the mural and the muralist.,0,0.6789652705192566
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",0,0.643334150314331
40,"What makes you think you're not in it?"""" said the painter.",0,0.7053465843200684
41,He gave a satiric smile.,0,0.8425801396369934
