segment,sentence,classification,confidence
1,2BR02B,1,0.5508533120155334
2,Everything was perfectly swell.,1,0.8996528387069702
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.8836231827735901
4,All diseases were conquered.,1,0.6179203987121582
5,So was old age.,1,0.6353459358215332
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9142394661903381
7,The population of the United States was stabilized at forty-million souls.,1,0.8359699249267578
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.9236343502998352
9,He was the only man waiting.,1,0.8853923082351685
10,Not many people were born a day any more.,1,0.9359983205795288
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9329647421836853
12,X-rays had revealed that his wife was going to have triplets.,1,0.877510666847229
13,The children would be his first.,1,0.8455021977424622
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.9184577465057373
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9595978856086731
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9666570425033569
17,Chairs and ashtrays had been moved away from the walls.,1,0.8876851797103882
18,The floor was paved with spattered dropcloths.,1,0.9401082992553711
19,The room was being redecorated.,1,0.7413003444671631
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9319302439689636
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9587404727935791
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9393615126609802
23,Aging had touched him that much before the cure for aging was found.,1,0.9483345746994019
24,The mural he was working on depicted a very neat garden.,1,0.9334641098976135
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9564561247825623
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9570438265800476
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9512825012207031
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9390698075294495
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9381083250045776
30,"If you don't like my kisses, honey,",1,0.9276463985443115
31,Here's what I will do:,1,0.8400751948356628
32,"I'll go see a girl in purple,",1,0.9353342652320862
33,Kiss this sad world toodle-oo.,1,0.9462342858314514
34,"If you don't want my lovin',",1,0.9220224022865295
35,Why should I take up all this space?,1,0.8242238759994507
36,"I'll get off this old planet,",1,0.9319191575050354
37,Let some sweet baby have my place.,1,0.9425160884857178
38,The orderly looked in at the mural and the muralist.,1,0.9323105812072754
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9527915120124817
40,"What makes you think you're not in it?"""" said the painter.",1,0.936168372631073
41,He gave a satiric smile.,1,0.9131957292556763
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.939574122428894
43,"""That's good of Dr. Hitz,"" said the orderly.",1,0.9146103858947754
