segment,sentence,classification,confidence
1,2BR02B,0,0.5261340141296387
2,Everything was perfectly swell.,0,0.8352378010749817
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.5778794288635254
4,All diseases were conquered.,0,0.9991273283958435
5,So was old age.,0,0.9969876408576965
6,"Death, barring accidents, was an adventure for volunteers.",1,0.7952092885971069
7,The population of the United States was stabilized at forty-million souls.,0,0.9905886650085449
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",0,0.8957991600036621
9,He was the only man waiting.,0,0.9993969202041626
10,Not many people were born a day any more.,0,0.9894381761550903
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9583790898323059
12,X-rays had revealed that his wife was going to have triplets.,0,0.9960336089134216
13,The children would be his first.,0,0.9966915845870972
14,"Young Wehling was hunched in his chair, his head in his hand.",0,0.9767246842384338
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.990392804145813
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.988423764705658
17,Chairs and ashtrays had been moved away from the walls.,0,0.9975970387458801
18,The floor was paved with spattered dropcloths.,0,0.8758987188339233
19,The room was being redecorated.,0,0.9992152452468872
20,It was being redecorated as a memorial to a man who had volunteered to die.,0,0.9519737362861633
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9971248507499695
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",0,0.5414829850196838
23,Aging had touched him that much before the cure for aging was found.,1,0.5975655913352966
24,The mural he was working on depicted a very neat garden.,0,0.9924188852310181
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9857087135314941
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.8903656005859375
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9926019310951233
28,"Every plant had all the loam, light, water, air and nourishment it could use.",0,0.9627119898796082
