segment,sentence,classification,confidence
1,2BR02B,1,0.9546050429344177
2,Everything was perfectly swell.,1,0.991584300994873
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.987528920173645
4,All diseases were conquered.,1,0.9145635366439819
5,So was old age.,1,0.8917067050933838
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9832109212875366
7,The population of the United States was stabilized at forty-million souls.,1,0.960883378982544
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.9903607368469238
9,He was the only man waiting.,1,0.9131121635437012
10,Not many people were born a day any more.,1,0.9653345942497253
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.987220048904419
12,X-rays had revealed that his wife was going to have triplets.,1,0.9274221062660217
13,The children would be his first.,1,0.9072186350822449
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.9960982799530029
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9961386322975159
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9991664886474609
17,Chairs and ashtrays had been moved away from the walls.,1,0.9964806437492371
18,The floor was paved with spattered dropcloths.,1,0.9959723353385925
19,The room was being redecorated.,1,0.9812803864479065
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9819960594177246
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9972422122955322
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9940301179885864
23,Aging had touched him that much before the cure for aging was found.,1,0.9974708557128906
24,The mural he was working on depicted a very neat garden.,1,0.99320387840271
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9966530203819275
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9981202483177185
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9945122003555298
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9759818315505981
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9990416169166565
30,"If you don't like my kisses, honey,",1,0.9910059571266174
31,Here's what I will do:,1,0.9769740700721741
32,"I'll go see a girl in purple,",1,0.990114688873291
33,Kiss this sad world toodle-oo.,1,0.992609441280365
34,"If you don't want my lovin',",1,0.9943484663963318
35,Why should I take up all this space?,1,0.9581419825553894
36,"I'll get off this old planet,",1,0.9970179796218872
37,Let some sweet baby have my place.,1,0.9946300983428955
38,The orderly looked in at the mural and the muralist.,1,0.9971143007278442
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9977198243141174
40,"What makes you think you're not in it?"""" said the painter.",1,0.9784820675849915
41,He gave a satiric smile.,1,0.9926692247390747
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.9915052056312561
43,"""That's good of Dr. Hitz,"" said the orderly.",1,0.9883484840393066
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.9931225180625916
45,Hitz was a blindingly handsome man.,1,0.9165554642677307
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.9971062541007996
47,He meant that the faces of many of the figures in the mural were still blank.,1,0.9922731518745422
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1,0.9961217045783997
