segment,sentence,classification,confidence
1,2BR02B,1,0.9176544547080994
2,Everything was perfectly swell.,1,0.951790452003479
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.976294994354248
4,All diseases were conquered.,1,0.8745166063308716
5,So was old age.,1,0.8416658043861389
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9632313847541809
7,The population of the United States was stabilized at forty-million souls.,1,0.9573673605918884
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.988743782043457
9,He was the only man waiting.,1,0.9161695837974548
10,Not many people were born a day any more.,1,0.9037038087844849
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9865942001342773
12,X-rays had revealed that his wife was going to have triplets.,1,0.9694069623947144
13,The children would be his first.,1,0.8645282983779907
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.990772008895874
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9878944754600525
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9960587024688721
17,Chairs and ashtrays had been moved away from the walls.,1,0.9890345335006714
18,The floor was paved with spattered dropcloths.,1,0.9942458271980286
19,The room was being redecorated.,1,0.9351241588592529
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9762591123580933
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9970232844352722
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.985763430595398
23,Aging had touched him that much before the cure for aging was found.,1,0.9877234697341919
24,The mural he was working on depicted a very neat garden.,1,0.9843418002128601
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9964151382446289
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9988706707954407
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9903764128684998
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9742316603660583
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9983048439025879
30,"If you don't like my kisses, honey,",1,0.988707423210144
31,Here's what I will do:,1,0.9218800663948059
32,"I'll go see a girl in purple,",1,0.9932680726051331
33,Kiss this sad world toodle-oo.,1,0.9882217049598694
34,"If you don't want my lovin',",1,0.9726570844650269
35,Why should I take up all this space?,1,0.8730912208557129
