segment,sentence,classification,confidence
1,2BR02B,1,0.9891889095306396
2,Everything was perfectly swell.,1,0.9846189618110657
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.981455385684967
4,All diseases were conquered.,1,0.8249706029891968
5,So was old age.,1,0.7689318060874939
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9430793523788452
7,The population of the United States was stabilized at forty-million souls.,1,0.9386985301971436
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.9902995824813843
9,He was the only man waiting.,1,0.9348176717758179
10,Not many people were born a day any more.,1,0.9395716786384583
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9845249056816101
12,X-rays had revealed that his wife was going to have triplets.,1,0.964690625667572
13,The children would be his first.,1,0.8881202936172485
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.9894604682922363
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9896300435066223
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9966938495635986
17,Chairs and ashtrays had been moved away from the walls.,1,0.99068683385849
18,The floor was paved with spattered dropcloths.,1,0.9946476817131042
19,The room was being redecorated.,1,0.9651790857315063
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9715586304664612
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9957854151725769
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9864055514335632
23,Aging had touched him that much before the cure for aging was found.,1,0.9926407933235168
24,The mural he was working on depicted a very neat garden.,1,0.9830151796340942
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9948723912239075
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9973931312561035
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9861277341842651
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9790120720863342
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9990512728691101
30,"If you don't like my kisses, honey,",1,0.9830159544944763
31,Here's what I will do:,1,0.9839327335357666
32,"I'll go see a girl in purple,",1,0.9926775693893433
33,Kiss this sad world toodle-oo.,1,0.9916625022888184
34,"If you don't want my lovin',",1,0.9876314997673035
35,Why should I take up all this space?,1,0.9069979190826416
36,"I'll get off this old planet,",1,0.9958064556121826
37,Let some sweet baby have my place.,1,0.9926049709320068
38,The orderly looked in at the mural and the muralist.,1,0.9957374334335327
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9976211190223694
40,"What makes you think you're not in it?"""" said the painter.",1,0.9209728837013245
41,He gave a satiric smile.,1,0.9891106486320496
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.9871947169303894
43,"""That's good of Dr. Hitz,"" said the orderly.",1,0.9700213670730591
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.9870150089263916
45,Hitz was a blindingly handsome man.,1,0.9294798970222473
