segment,sentence,classification,confidence
1,2BR02B,1,0.8322665691375732
2,Everything was perfectly swell.,1,0.9607310891151428
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.9957270622253418
4,All diseases were conquered.,1,0.9495286345481873
5,So was old age.,1,0.9469307065010071
6,"Death, barring accidents, was an adventure for volunteers.",1,0.9940782785415649
7,The population of the United States was stabilized at forty-million souls.,1,0.9911713004112244
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.9965674877166748
9,He was the only man waiting.,1,0.9656927585601807
10,Not many people were born a day any more.,1,0.9669507145881653
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9975681900978088
12,X-rays had revealed that his wife was going to have triplets.,1,0.9920098781585693
13,The children would be his first.,1,0.9584829211235046
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.9965912103652954
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9967746138572693
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9969954490661621
17,Chairs and ashtrays had been moved away from the walls.,1,0.9945100545883179
18,The floor was paved with spattered dropcloths.,1,0.9954485297203064
19,The room was being redecorated.,1,0.9850506782531738
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9958034157752991
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.997380793094635
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9952853322029114
23,Aging had touched him that much before the cure for aging was found.,1,0.9934602975845337
24,The mural he was working on depicted a very neat garden.,1,0.9915478825569153
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9971996545791626
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9963815212249756
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9908269047737122
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9952066540718079
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9119038581848145
30,"If you don't like my kisses, honey,",1,0.9221134185791016
31,Here's what I will do:,1,0.8565347194671631
32,"I'll go see a girl in purple,",1,0.8891419768333435
33,Kiss this sad world toodle-oo.,1,0.9796981811523438
34,"If you don't want my lovin',",1,0.8390406966209412
35,Why should I take up all this space?,1,0.8891233801841736
36,"I'll get off this old planet,",1,0.8589835166931152
37,Let some sweet baby have my place.,1,0.9698221683502197
38,The orderly looked in at the mural and the muralist.,1,0.9927822351455688
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9748665690422058
40,"What makes you think you're not in it?"""" said the painter.",1,0.9856305718421936
41,He gave a satiric smile.,1,0.9517566561698914
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.8693476319313049
43,"""That's good of Dr. Hitz,"" said the orderly.",1,0.9907256960868835
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.9963216781616211
45,Hitz was a blindingly handsome man.,1,0.9769108891487122
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.9859969019889832
47,He meant that the faces of many of the figures in the mural were still blank.,1,0.9949687123298645
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1,0.8948215246200562
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1,0.9925073981285095
50,The painter's face curdled with scorn.,1,0.9919008016586304
51,"You think I'm proud of this daub?"""" he said.",1,0.9842564463615417
52,"You think this is my idea of what life really looks like?""""""",1,0.8306455612182617
53,"""What's your idea of what life looks like?"" said the orderly.",1,0.9901502132415771
54,The painter gestured at a foul dropcloth.,1,0.9914787411689758
55,"There's a good picture of it,"""" he said.",1,0.9811913371086121
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.91708904504776
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.9940934777259827
58,"""Is that a crime?"" said the painter.",1,0.9810727834701538
59,The orderly shrugged.,1,0.9449533820152283
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1,0.9975698590278625
61,"The zero in the telephone number he pronounced """"naught.""""",1,0.9235635995864868
62,"The number was: ""2 B R 0 2 B.""",1,0.9160026907920837
