segment,sentence,classification,confidence
1,2BR02B,1,0.5853729248046875
2,Everything was perfectly swell.,1,0.7984707355499268
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",0,0.9689465165138245
4,All diseases were conquered.,0,0.9775269031524658
5,So was old age.,0,0.9219886064529419
6,"Death, barring accidents, was an adventure for volunteers.",0,0.9573053121566772
7,The population of the United States was stabilized at forty-million souls.,0,0.9798816442489624
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",0,0.9747292995452881
9,He was the only man waiting.,0,0.9239258170127869
10,Not many people were born a day any more.,0,0.9838825464248657
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",0,0.9625918865203857
12,X-rays had revealed that his wife was going to have triplets.,0,0.9609681367874146
13,The children would be his first.,0,0.9743832945823669
14,"Young Wehling was hunched in his chair, his head in his hand.",0,0.9859244227409363
15,"He was so rumpled, so still and colorless as to be virtually invisible.",0,0.8720209002494812
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",0,0.8171710968017578
17,Chairs and ashtrays had been moved away from the walls.,0,0.8930013179779053
18,The floor was paved with spattered dropcloths.,1,0.6548115015029907
19,The room was being redecorated.,0,0.8380606770515442
20,It was being redecorated as a memorial to a man who had volunteered to die.,0,0.9872575402259827
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",0,0.9613527059555054
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",0,0.9526520371437073
23,Aging had touched him that much before the cure for aging was found.,0,0.8821497559547424
24,The mural he was working on depicted a very neat garden.,0,0.7697935104370117
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",0,0.9824421405792236
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",0,0.9641190767288208
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",0,0.9546276330947876
28,"Every plant had all the loam, light, water, air and nourishment it could use.",0,0.9616107940673828
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",0,0.812623143196106
30,"If you don't like my kisses, honey,",0,0.749711275100708
31,Here's what I will do:,0,0.8323915600776672
32,"I'll go see a girl in purple,",0,0.8390220403671265
33,Kiss this sad world toodle-oo.,1,0.7190041542053223
34,"If you don't want my lovin',",1,0.75728839635849
35,Why should I take up all this space?,0,0.737828254699707
36,"I'll get off this old planet,",0,0.7901662588119507
37,Let some sweet baby have my place.,1,0.9142624139785767
38,The orderly looked in at the mural and the muralist.,1,0.5279983282089233
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",0,0.6566721796989441
40,"What makes you think you're not in it?"""" said the painter.",1,0.5887500643730164
41,He gave a satiric smile.,0,0.809092104434967
42,"It's called 'The Happy Garden of Life,' you know.""""",0,0.7428449392318726
43,"""That's good of Dr. Hitz,"" said the orderly.",0,0.922588586807251
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",0,0.9893745183944702
45,Hitz was a blindingly handsome man.,0,0.9796211123466492
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.6808167695999146
47,He meant that the faces of many of the figures in the mural were still blank.,0,0.9833383560180664
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",0,0.9434091448783875
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",0,0.7385329008102417
50,The painter's face curdled with scorn.,0,0.7943176627159119
51,"You think I'm proud of this daub?"""" he said.",1,0.86754310131073
52,"You think this is my idea of what life really looks like?""""""",0,0.855817973613739
53,"""What's your idea of what life looks like?"" said the orderly.",0,0.7720149159431458
54,The painter gestured at a foul dropcloth.,1,0.7116537094116211
55,"There's a good picture of it,"""" he said.",0,0.7969958782196045
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.6908569931983948
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.88849937915802
58,"""Is that a crime?"" said the painter.",0,0.9476420283317566
59,The orderly shrugged.,1,0.7681640982627869
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",0,0.9897867441177368
61,"The zero in the telephone number he pronounced """"naught.""""",0,0.8856319189071655
62,"The number was: ""2 B R 0 2 B.""",0,0.7335147261619568
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1,0.5175279974937439
64,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.",0,0.8937716484069824
65,The painter thumbed his nose at the orderly.,1,0.5818173885345459
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",0,0.5086166858673096
67,"A do-it-yourselfer, eh?"""" said the orderly.",1,0.9035837650299072
68,"Messy business, Grandpa.",0,0.59070885181427
