segment,sentence,classification,confidence
1,2BR02B,1,0.8127655982971191
2,Everything was perfectly swell.,1,0.9458049535751343
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1,0.9545844197273254
4,All diseases were conquered.,1,0.910293459892273
5,So was old age.,1,0.9089841246604919
6,"Death, barring accidents, was an adventure for volunteers.",1,0.935496985912323
7,The population of the United States was stabilized at forty-million souls.,1,0.9281428456306458
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1,0.9654918313026428
9,He was the only man waiting.,1,0.8972289562225342
10,Not many people were born a day any more.,1,0.9238300919532776
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1,0.9623045325279236
12,X-rays had revealed that his wife was going to have triplets.,1,0.9418542385101318
13,The children would be his first.,1,0.9243358969688416
14,"Young Wehling was hunched in his chair, his head in his hand.",1,0.9787071943283081
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1,0.9824925661087036
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1,0.9861150979995728
17,Chairs and ashtrays had been moved away from the walls.,1,0.9627645611763
18,The floor was paved with spattered dropcloths.,1,0.9663149118423462
19,The room was being redecorated.,1,0.9337651133537292
20,It was being redecorated as a memorial to a man who had volunteered to die.,1,0.9648996591567993
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1,0.9785242080688477
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1,0.9707148671150208
23,Aging had touched him that much before the cure for aging was found.,1,0.9791029095649719
24,The mural he was working on depicted a very neat garden.,1,0.9716686606407166
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1,0.9727158546447754
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1,0.9840133786201477
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1,0.9752227663993835
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1,0.9631940126419067
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1,0.9106218218803406
30,"If you don't like my kisses, honey,",1,0.9227034449577332
31,Here's what I will do:,1,0.8482005000114441
32,"I'll go see a girl in purple,",1,0.9093608260154724
33,Kiss this sad world toodle-oo.,1,0.9652234315872192
34,"If you don't want my lovin',",1,0.8548658490180969
35,Why should I take up all this space?,1,0.8864948153495789
36,"I'll get off this old planet,",1,0.9164077043533325
37,Let some sweet baby have my place.,1,0.9606007933616638
38,The orderly looked in at the mural and the muralist.,1,0.9753985404968262
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1,0.9763007164001465
40,"What makes you think you're not in it?"""" said the painter.",1,0.9399516582489014
41,He gave a satiric smile.,1,0.9522089958190918
42,"It's called 'The Happy Garden of Life,' you know.""""",1,0.8785785436630249
43,"""That's good of Dr. Hitz,"" said the orderly.",1,0.9288215041160583
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1,0.9570439457893372
45,Hitz was a blindingly handsome man.,1,0.9378786683082581
46,"Lot of faces still to fill in,"""" said the orderly.",1,0.9506280422210693
47,He meant that the faces of many of the figures in the mural were still blank.,1,0.9594241380691528
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1,0.89640873670578
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1,0.9664418697357178
50,The painter's face curdled with scorn.,1,0.9749994874000549
51,"You think I'm proud of this daub?"""" he said.",1,0.9650846123695374
52,"You think this is my idea of what life really looks like?""""""",1,0.8583908081054688
53,"""What's your idea of what life looks like?"" said the orderly.",1,0.9169638156890869
54,The painter gestured at a foul dropcloth.,1,0.976635217666626
55,"There's a good picture of it,"""" he said.",1,0.931348443031311
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1,0.9728787541389465
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1,0.9543495774269104
58,"""Is that a crime?"" said the painter.",1,0.8973191976547241
59,The orderly shrugged.,1,0.9145468473434448
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1,0.9828633666038513
61,"The zero in the telephone number he pronounced """"naught.""""",1,0.9223612546920776
