model,matched_samples,accuracy,precision,recall,f1_score,perm_test_pvalue,true_positives,true_negatives,false_positives,false_negatives
roberta_Qwen2.5-7B-Instruct_few-shot_src_only,234,0.7136752136752137,0.6979166666666666,0.638095238095238,0.6666666666666666,0.0,67,100,29,38
roberta_Mistral-7B-Instruct-v0.3_few-shot_src_only,234,0.6752136752136753,0.6218487394957983,0.7047619047619048,0.6607142857142857,0.0,74,84,45,31
roberta_Meta-Llama-3-8B-Instruct_zero-shot_src_only,234,0.6923076923076923,0.6240601503759399,0.7904761904761904,0.6974789915966386,0.0,83,79,50,22
roberta_comet,234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
roberta_bleurt,234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
roberta_levenshtein,234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
"roberta_comet,levenshtein",234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
"roberta_bleurt,levenshtein",234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
roberta_cosine_distance,234,0.594017094017094,0.625,0.23809523809523808,0.3448275862068966,0.0103,25,114,15,80
deberta_Qwen2.5-7B-Instruct_few-shot_src_only,234,0.7307692307692307,0.71,0.6761904761904762,0.6926829268292682,0.0,71,100,29,34
deberta_Mistral-7B-Instruct-v0.3_few-shot_src_only,234,0.6837606837606838,0.6220472440944882,0.7523809523809524,0.6810344827586207,0.0,79,81,48,26
deberta_Meta-Llama-3-8B-Instruct_zero-shot_src_only,234,0.7094017094017094,0.6293706293706294,0.8571428571428571,0.7258064516129032,0.0,90,76,53,15
deberta_comet,234,0.4658119658119658,0.45652173913043476,1.0,0.6268656716417911,0.0875,105,4,125,0
deberta_bleurt,234,0.4658119658119658,0.45652173913043476,1.0,0.6268656716417911,0.0911,105,4,125,0
deberta_levenshtein,234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
"deberta_comet,levenshtein",234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
"deberta_bleurt,levenshtein",234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
deberta_cosine_distance,234,0.5598290598290598,0.525,0.2,0.2896551724137931,0.1815,21,110,19,84
