,segment,sentence,translation,cosine_distance
192,210,Nobody came running.,Nadie acudió corriendo.,0.030439973
198,216,He thought of war.,Pensó en la guerra.,0.036946356
125,140,"Without women like you, this wonderful world we've got wouldn't be possible.""","Sin mujeres como usted, nuestro mundo maravilloso no sería posible.",0.05333984
199,217,He thought of plague.,Pensó en la peste.,0.053766906
58,70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,El pintor dijo una vulgaridad para expresar su falta de preocupación por las tribulaciones de sus supervivientes.,0.05485308
180,197,"He or she is going to live on a happy, roomy, clean, rich planet, thanks to population control.","Él o ella vivirá en un planeta rico, limpio, espacioso y feliz gracias al control de la población.",0.055457056
205,224,And then he saw the telephone booth in the corner of the room.,Entonces vio el teléfono en la esquina de la sala.,0.0572353
162,178,Wehling continued to stare at the same spot on the wall.,Quejada seguía mirando al mismo punto de la pared.,0.06248778
132,147,The law said that no newborn child could survive unless the parents of the child could find someone who would volunteer to die.,La ley decía que ningún recién nacido podía sobrevivir si sus padres no encontraban a un voluntario que se prestara a morir.,0.06779647
203,221~~~222,"And then he decided he had had about enough of life in the Happy Garden of Life, too, and he came slowly down from the ladder. ~~~ He took Wehling's pistol, really intending to shoot himself.","Y luego decidió que él también había tenido ya suficiente en El jardín feliz de la vida y bajó lentamente de la escalera. ~~~ Le quitó la pistola a Quejada, con la intención real de dispararse.",0.070966005
140,155,"Wehling,"""" said the waiting father, sitting up, red-eyed and frowzy.","—Quejada —dijo el padre en espera, que estaba sentado, con los ojos rojos y desaliñado—.",0.07391542
145,160,"""The invisible man,"" said Wehling.",—El hombre invisible —dijo Quejada.,0.075274706
193,211,"Nobody, seemingly, heard the shots.","Nadie, al parecer, oyó los disparos.",0.07563388
137,152,Nobody made three appointments with us.,Nadie concertó tres citas con nosotros.,0.0799554
181,198,"In a garden like that mural there.""""",En un jardín como el de ese mural.,0.08021855
20,25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.","Hombres y mujeres de blanco, doctores y enfermeros, cavaban, plantaban semillas, fumigaban, fertilizaban la tierra.",0.08033961
57,69,"Why don't you have a little consideration for the people who have to clean up after you?""""",¿Por qué no tiene un poco de consideración por las personas que deberán limpiar después de usted?,0.08084047
17,21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.","Un hombre mordaz, ya mayor, de unos doscientos años, estaba sentado en la escalera y pintaba un mural que no le gustaba.",0.08163893
