model,matched_samples,accuracy,precision,recall,f1_score,perm_test_pvalue,true_positives,true_negatives,false_positives,false_negatives
2br02b_5,234,0.5384615384615384,0.38461538461538464,0.047619047619047616,0.0847457627118644,0.7729,5,121,8,100
2br02b_10,234,0.5555555555555556,0.52,0.12380952380952381,0.2,0.2887,13,117,12,92
2br02b_15,234,0.5598290598290598,0.5277777777777778,0.18095238095238095,0.2695035460992908,0.1949,19,112,17,86
2br02b_20,234,0.5555555555555556,0.5106382978723404,0.22857142857142856,0.3157894736842105,0.2138,24,106,23,81
2br02b_25,234,0.5512820512820513,0.5,0.2857142857142857,0.36363636363636365,0.2198,30,99,30,75
2br02b_30,234,0.5555555555555556,0.5070422535211268,0.34285714285714286,0.4090909090909091,0.1517,36,94,35,69
2br02b_40,234,0.5256410256410257,0.46808510638297873,0.41904761904761906,0.44221105527638194,0.3598,44,79,50,61
2br02b_50,234,0.5213675213675214,0.46956521739130436,0.5142857142857142,0.4909090909090909,0.3062,54,68,61,51
2br02b_60,234,0.5341880341880342,0.4855072463768116,0.638095238095238,0.551440329218107,0.1053,67,58,71,38
2br02b_70,234,0.5598290598290598,0.5061728395061729,0.780952380952381,0.6142322097378277,0.0072,82,49,80,23
2br02b_75,234,0.5598290598290598,0.5057471264367817,0.8380952380952381,0.6308243727598566,0.0028,88,43,86,17
2br02b_80,234,0.5427350427350427,0.4946808510638298,0.8857142857142857,0.6348122866894198,0.0028,93,34,95,12
2br02b_85,234,0.5256410256410257,0.48484848484848486,0.9142857142857143,0.6336633663366337,0.0067,96,27,102,9
2br02b_90,234,0.49572649572649574,0.46919431279620855,0.9428571428571428,0.6265822784810127,0.041,99,17,112,6
2br02b_95,234,0.4658119658119658,0.45495495495495497,0.9619047619047619,0.617737003058104,0.2975,101,8,121,4
