segment,sentence,classification
1,2BR02B,0
2,Everything was perfectly swell.,1
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1
4,All diseases were conquered.,1
5,So was old age.,1
6,"Death, barring accidents, was an adventure for volunteers.",1
7,The population of the United States was stabilized at forty-million souls.,0
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",0
9,He was the only man waiting.,0
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1
12,X-rays had revealed that his wife was going to have triplets.,1
13,The children would be his first.,1
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1
17,Chairs and ashtrays had been moved away from the walls.,0
18,The floor was paved with spattered dropcloths.,1
19~~~20,The room was being redecorated. ~~~ It was being redecorated as a memorial to a man who had volunteered to die.,1
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",0
23,Aging had touched him that much before the cure for aging was found.,0
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1
31,Here's what I will do:,0
32,"I'll go see a girl in purple,",1
33,Kiss this sad world toodle-oo.,1
34,"If you don't want my lovin',",1
35,Why should I take up all this space?,0
36,"I'll get off this old planet,",1
37,Let some sweet baby have my place.,1
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1
41,He gave a satiric smile.,1
42,"It's called 'The Happy Garden of Life,' you know.""""",1
50,The painter's face curdled with scorn.,1
55,"There's a good picture of it,"""" he said.",0
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1
59~~~60~~~61~~~62,"The orderly shrugged. ~~~ If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call. ~~~ The zero in the telephone number he pronounced """"naught."""" ~~~ The number was: ""2 B R 0 2 B.""",1
63~~~64~~~65,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?"" ~~~ ""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination. ~~~ The painter thumbed his nose at the orderly.",1
72,The orderly laughed and moved on.,0
74,And then he fell silent again.,0
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1
78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.",1
79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",1
80,"Is this where I'm supposed to come?"""" she said to the painter.",1
82,"You aren't about to have a baby, are you?""""",1
83,"They told me I was supposed to pose for some picture,"""" she said.",1
84,"My name's Leora Duncan.""",0
85,She waited.,0
86,"""And you dunk people,"" he said.",1
87,"""What?"" she said.",1
88,"""Skip it,"" he said.",1
89,"That sure is a beautiful picture,"""" she said.",1
91,"Or something,"""" said the painter.",1
92,He took a list of names from his smock pocket.,0
93,"Duncan, Duncan, Duncan,"""" he said, scanning the list.",0
97,We've got a few choice ones left.,1
98,She studied the mural bleakly.,1
