segment,sentence,classification
1,2BR02B,1
2,Everything was perfectly swell.,1
4,All diseases were conquered.,1
5,So was old age.,0
6,"Death, barring accidents, was an adventure for volunteers.",1
7,The population of the United States was stabilized at forty-million souls.,1
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1
9,He was the only man waiting.,0
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1
12,X-rays had revealed that his wife was going to have triplets.,0
13,The children would be his first.,0
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1
17,Chairs and ashtrays had been moved away from the walls.,0
18,The floor was paved with spattered dropcloths.,1
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1
23,Aging had touched him that much before the cure for aging was found.,1
24,The mural he was working on depicted a very neat garden.,0
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1
30,"If you don't like my kisses, honey,",1
31,Here's what I will do:,0
33,Kiss this sad world toodle-oo.,1
34,"If you don't want my lovin',",1
35,Why should I take up all this space?,0
36,"I'll get off this old planet,",1
37,Let some sweet baby have my place.,1
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1
41,He gave a satiric smile.,0
42,"It's called 'The Happy Garden of Life,' you know.""""",1
44~~~45,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician. ~~~ Hitz was a blindingly handsome man.",1
46,"Lot of faces still to fill in,"""" said the orderly.",1
47,He meant that the faces of many of the figures in the mural were still blank.,0
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1
50,The painter's face curdled with scorn.,1
51,"You think I'm proud of this daub?"""" he said.",1
55,"There's a good picture of it,"""" he said.",0
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1
58,"""Is that a crime?"" said the painter.",0
