segment,sentence,classification
2,Everything was perfectly swell.,1
5,So was old age.,0
9,He was the only man waiting.,0
12,X-rays had revealed that his wife was going to have triplets.,0
14,"Young Wehling was hunched in his chair, his head in his hand.",0
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1
17,Chairs and ashtrays had been moved away from the walls.,0
18,The floor was paved with spattered dropcloths.,1
20,It was being redecorated as a memorial to a man who had volunteered to die.,0
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",1
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1
24,The mural he was working on depicted a very neat garden.,0
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1
28,"Every plant had all the loam, light, water, air and nourishment it could use.",0
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1
30,"If you don't like my kisses, honey,",0
31,Here's what I will do:,0
32,"I'll go see a girl in purple,",0
33,Kiss this sad world toodle-oo.,1
34,"If you don't want my lovin',",0
35,Why should I take up all this space?,0
36,"I'll get off this old planet,",0
38,The orderly looked in at the mural and the muralist.,0
41,He gave a satiric smile.,0
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1
45,Hitz was a blindingly handsome man.,1
47,He meant that the faces of many of the figures in the mural were still blank.,0
50,The painter's face curdled with scorn.,1
51,"You think I'm proud of this daub?"""" he said.",1
52,"You think this is my idea of what life really looks like?""""""",0
53,"""What's your idea of what life looks like?"" said the orderly.",1
54,The painter gestured at a foul dropcloth.,0
55,"There's a good picture of it,"""" he said.",0
62,"The number was: ""2 B R 0 2 B.""",1
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",1
68,"Messy business, Grandpa.",1
69,"Why don't you have a little consideration for the people who have to clean up after you?""""",1
70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,1
71,"The world could do with a good deal more mess, if you ask me,"""" he said.",1
72,The orderly laughed and moved on.,0
73,"Wehling, the waiting father, mumbled something without raising his head.",1
74,And then he fell silent again.,0
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1
77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",1
78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.",0
79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",1
