model,matched_samples,accuracy,precision,recall,f1_score,perm_test_pvalue,true_positives,true_negatives,false_positives,false_negatives
claude-sonnet-4-20250514_zero-shot_src_only,234,0.5854700854700855,0.5204081632653061,0.9714285714285714,0.6777408637873754,0.0,102,35,94,3
claude-sonnet-4-20250514_one-shot_src_only,234,0.6538461538461539,0.5705882352941176,0.9238095238095239,0.7054545454545454,0.0,97,56,73,8
claude-sonnet-4-20250514_few-shot_src_only,234,0.6025641025641025,0.53125,0.9714285714285714,0.6868686868686869,0.0,102,39,90,3
claude-sonnet-4-20250514_one-shot_translation,231,0.5930735930735931,0.5233160621761658,0.9805825242718447,0.6824324324324325,0.0,101,36,92,2
claude-sonnet-4-20250514_few-shot_translation,231,0.6060606060606061,0.5380434782608695,0.9428571428571428,0.6851211072664359,0.0,99,41,85,6
claude-sonnet-4-20250514_one-shot_multi_translation,176,0.6590909090909091,0.5777777777777777,0.9629629629629629,0.7222222222222222,0.0,78,38,57,3
claude-sonnet-4-20250514_few-shot_multi_translation,183,0.6830601092896175,0.6031746031746031,0.9047619047619048,0.7238095238095238,0.0,76,49,50,8
gpt-4_zero-shot_src_only,234,0.6666666666666666,0.5870967741935483,0.8666666666666667,0.7,0.0,91,65,64,14
gpt-4_one-shot_src_only,234,0.6666666666666666,0.5894039735099338,0.8476190476190476,0.6953125,0.0,89,67,62,16
gpt-4_few-shot_src_only,234,0.6923076923076923,0.6187050359712231,0.819047619047619,0.7049180327868853,0.0,86,76,53,19
gpt-4_one-shot_translation,234,0.6965811965811965,0.625,0.8095238095238095,0.7053941908713693,0.0,85,78,51,20
gpt-4_few-shot_translation,50,0.64,0.8148148148148148,0.6285714285714286,0.7096774193548387,0.0534,22,10,5,13
gpt-4_one-shot_multi_translation,234,0.6324786324786325,0.5811965811965812,0.6476190476190476,0.6126126126126126,0.0,68,80,49,37
gpt-4_few-shot_multi_translation,233,0.630901287553648,0.594059405940594,0.5714285714285714,0.5825242718446602,0.0001,60,87,41,45
Qwen2.5-7B-Instruct_zero-shot_src_only,232,0.6551724137931034,0.6344086021505376,0.5619047619047619,0.5959595959595959,0.0,59,93,34,46
Qwen2.5-7B-Instruct_one-shot_src_only,234,0.7051282051282052,0.7142857142857143,0.5714285714285714,0.6349206349206349,0.0,60,105,24,45
Qwen2.5-7B-Instruct_few-shot_src_only,234,0.6623931623931624,0.6101694915254238,0.6857142857142857,0.6457399103139013,0.0,72,83,46,33
Qwen2.5-7B-Instruct_one-shot_translation,234,0.5982905982905983,0.627906976744186,0.2571428571428571,0.36486486486486486,0.0066,27,113,16,78
Qwen2.5-7B-Instruct_few-shot_translation,234,0.6794871794871795,0.6829268292682927,0.5333333333333333,0.5989304812834224,0.0,56,103,26,49
Qwen2.5-7B-Instruct_one-shot_multi_translation,234,0.6709401709401709,0.6428571428571429,0.6,0.6206896551724138,0.0,63,94,35,42
Qwen2.5-7B-Instruct_few-shot_multi_translation,234,0.6495726495726496,0.6292134831460674,0.5333333333333333,0.5773195876288659,0.0,56,96,33,49
Meta-Llama-3-8B-Instruct_zero-shot_src_only,234,0.6410256410256411,0.5668789808917197,0.8476190476190476,0.6793893129770993,0.0,89,61,68,16
Meta-Llama-3-8B-Instruct_one-shot_src_only,234,0.5683760683760684,0.5106382978723404,0.9142857142857143,0.6552901023890785,0.0001,96,37,92,9
Meta-Llama-3-8B-Instruct_few-shot_src_only,57,0.5789473684210527,0.5555555555555556,1.0,0.7142857142857143,0.0956,30,3,24,0
Meta-Llama-3-8B-Instruct_one-shot_translation,230,0.5565217391304348,0.5026455026455027,0.9223300970873787,0.6506849315068494,0.0001,95,33,94,8
Meta-Llama-3-8B-Instruct_few-shot_translation,11,0.7272727272727273,0.6666666666666666,1.0,0.8,0.1837,6,2,3,0
Meta-Llama-3-8B-Instruct_one-shot_multi_translation,136,0.5955882352941176,0.4948453608247423,0.8888888888888888,0.6357615894039735,0.0002,48,33,49,6
Meta-Llama-3-8B-Instruct_few-shot_multi_translation,3,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,2,0,1,0
Mistral-7B-Instruct-v0.3_zero-shot_src_only,219,0.6621004566210046,0.6136363636363636,0.7788461538461539,0.6864406779661016,0.0,81,64,51,23
Mistral-7B-Instruct-v0.3_one-shot_src_only,234,0.5769230769230769,0.5159574468085106,0.9238095238095239,0.6621160409556314,0.0,97,38,91,8
Mistral-7B-Instruct-v0.3_few-shot_src_only,234,0.6709401709401709,0.5972222222222222,0.819047619047619,0.6907630522088354,0.0,86,71,58,19
Mistral-7B-Instruct-v0.3_one-shot_translation,234,0.6794871794871795,0.6171875,0.7523809523809524,0.6781115879828327,0.0,79,80,49,26
Mistral-7B-Instruct-v0.3_few-shot_translation,234,0.6794871794871795,0.6190476190476191,0.7428571428571429,0.6753246753246753,0.0,78,81,48,27
Mistral-7B-Instruct-v0.3_one-shot_multi_translation,234,0.6367521367521367,0.5684931506849316,0.7904761904761904,0.6613545816733067,0.0,83,66,63,22
Mistral-7B-Instruct-v0.3_few-shot_multi_translation,234,0.5811965811965812,0.5193370165745856,0.8952380952380953,0.6573426573426573,0.0,94,42,87,11
Llama-3.2-1B_zero-shot_src_only,233,0.49356223175965663,0.45977011494252873,0.7692307692307693,0.5755395683453237,0.2898,80,35,94,24
Llama-3.2-1B_one-shot_src_only,233,0.5965665236051502,0.5964912280701754,0.3238095238095238,0.41975308641975306,0.0074,34,105,23,71
Llama-3.2-1B_few-shot_src_only,233,0.51931330472103,0.47101449275362317,0.625,0.5371900826446281,0.2207,65,56,73,39
Llama-3.2-1B_one-shot_translation,233,0.5150214592274678,0.43478260869565216,0.28846153846153844,0.3468208092485549,0.6462,30,90,39,74
Llama-3.2-1B_few-shot_translation,230,0.5217391304347826,0.45544554455445546,0.45544554455445546,0.45544554455445546,0.3778,46,74,55,55
Llama-3.2-1B_one-shot_multi_translation,232,0.4482758620689655,0.4074074074074074,0.5339805825242718,0.46218487394957986,0.9296,55,49,80,48
Llama-3.2-1B_few-shot_multi_translation,229,0.5021834061135371,0.4591194968553459,0.7227722772277227,0.5615384615384615,0.251,73,42,86,28
