segment,sentence,classification
1,2BR02B,1
2,Everything was perfectly swell.,1
3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.",1
4,All diseases were conquered.,1
5,So was old age.,1
6,"Death, barring accidents, was an adventure for volunteers.",1
7,The population of the United States was stabilized at forty-million souls.,0
8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",1
9,He was the only man waiting.,1
10,Not many people were born a day any more.,1
11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",1
12,X-rays had revealed that his wife was going to have triplets.,1
13,The children would be his first.,1
14,"Young Wehling was hunched in his chair, his head in his hand.",1
15,"He was so rumpled, so still and colorless as to be virtually invisible.",1
16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",1
17,Chairs and ashtrays had been moved away from the walls.,1
18,The floor was paved with spattered dropcloths.,1
19,The room was being redecorated.,1
20,It was being redecorated as a memorial to a man who had volunteered to die.,1
21,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",0
22,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so.",1
23,Aging had touched him that much before the cure for aging was found.,1
24,The mural he was working on depicted a very neat garden.,0
25,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.",1
26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",1
27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.",1
28,"Every plant had all the loam, light, water, air and nourishment it could use.",1
29,"A hospital orderly came down the corridor, singing under his breath a popular song:",1
30,"If you don't like my kisses, honey,",1
31,Here's what I will do:,1
32,"I'll go see a girl in purple,",1
33,Kiss this sad world toodle-oo.,1
34,"If you don't want my lovin',",1
35,Why should I take up all this space?,1
36,"I'll get off this old planet,",1
37,Let some sweet baby have my place.,1
38,The orderly looked in at the mural and the muralist.,1
39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",1
40,"What makes you think you're not in it?"""" said the painter.",1
41,He gave a satiric smile.,1
42,"It's called 'The Happy Garden of Life,' you know.""""",1
43,"""That's good of Dr. Hitz,"" said the orderly.",1
