sentence_id,segment,creativity_score,ter,sentence,gandolfo,guerberof,original_stats_char_count,original_stats_token_count,original_stats_sentence_count,original_stats_avg_word_length,translation_stats_avg_char_count,translation_stats_avg_token_count,translation_stats_avg_sentence_count,translation_stats_avg_word_length,translation_stats_std_char_count,translation_stats_std_token_count,translation_stats_min_token_count,translation_stats_max_token_count,length_ratio_stats_avg_length_ratio,length_ratio_stats_std_length_ratio,length_ratio_stats_min_length_ratio,length_ratio_stats_max_length_ratio
95,116,2.3710302463229858,0.9166666666666669,"""Good gravy, no!"" she said.","-¡Demonios, no!","—Pero ¡qué va, por Dios!",27,10,2,2.5,24.25,7.5,1.5,2.981331168831169,6.722164829874376,2.5,4,11,0.75,0.25,0.4,1.1
71,88,2.281966163869663,0.9027777777777778,"""Skip it,"" he said.",-No importa –dijo él.,"—No, nada, mis cosas —le respondió.",19,8,1,2.25,26.25,7.0,1.0,3.347916666666667,7.46240577829965,1.5811388300841898,5,9,0.875,0.1976423537605237,0.625,1.125
121,145,2.19290208141634,0.888888888888889,"Triplets!"""" she said.",-¡Trillizos!,—¡Trillizos!,21,7,2,3.0,21.75,5.0,1.5,4.84375,10.059199769365357,3.0,2,8,0.7142857142857142,0.4285714285714285,0.2857142857142857,1.1428571428571428
69,86,2.148370040189679,0.8819444444444445,"""And you dunk people,"" he said.",-Y ustedes los tucanes.,"—Ah, usted es la que corta cabezas —dijo el pintor.",31,10,1,2.8,34.5,9.25,1.0,3.2750000000000004,10.805091392487157,2.5860201081971503,5,12,0.925,0.258602010819715,0.5,1.2
72,89,1.8854189396132008,0.8409391534391534,"That sure is a beautiful picture,"""" she said.","-Bueno, ése sí que es un hermoso cuadro –dijo ella-.",—¡Qué cuadro tan bonito! ~~~ —dijo—.,45,12,1,3.333333333333333,46.0,11.75,1.25,3.378787878787879,8.74642784226795,2.8613807855648994,8,16,0.9791666666666664,0.2384483987970749,0.6666666666666666,1.3333333333333333
51,67,1.7636626840371308,0.8219521604938271,"A do-it-yourselfer, eh?"""" said the orderly.",–dijo el ordenanza-.,"—Ah, un autodidacta, ¿eh? ~~~ —dijo el celador—.",43,11,2,3.636363636363636,40.75,10.25,1.75,3.664231601731602,12.397076268217438,3.766629793329841,4,14,0.9318181818181818,0.3424208903027128,0.3636363636363636,1.2727272727272727
80,97,1.6712410270468774,0.8075396825396826,We've got a few choice ones left.,Nos quedan algunos para elegir.,Aún nos quedan varias opciones de primera.,33,9,1,3.0,35.0,7.0,1.25,4.338888888888889,10.41633332799983,1.5811388300841898,5,9,0.7777777777777778,0.1756820922315766,0.5555555555555556,1.0
119,143,1.6585175866964028,0.8055555555555556,"""I can't,"" she said.",-No puedo –dijo ella.,—No sé —dijo ella.,20,9,1,2.111111111111111,22.5,6.5,1.0,3.034920634920635,6.18465843842649,1.6583123951777,5,9,0.7222222222222223,0.1842569327975222,0.5555555555555556,1.0
138,164,1.6436735729541827,0.8032407407407408,"""Hooray,"" said Wehling emptily.",-Hurra –dijo Wehling con voz hueca.,—¡Hurra! ~~~ —dijo Quejada sin entusiasmo.,31,8,1,3.75,36.5,8.25,1.25,3.9901785714285714,3.3541019662496847,1.0897247358851685,7,10,1.03125,0.136215591985646,0.875,1.25
64,81,1.5929565260015954,0.7953317901234568,"A lot would depend on what your business was,"""" he said.",-Gran parte depende de cuál es tu asunto –dijo él-.,—Dependerá de lo que la trae hasta aquí —dijo él—.,56,15,1,3.2,50.25,11.75,1.0,3.628350815850816,1.479019945774904,0.82915619758885,11,13,0.7833333333333333,0.0552770798392567,0.7333333333333333,0.8666666666666667
97,118,1.5917195248564102,0.7951388888888888,"""Ah, You... you admire him, eh?"" he said.","-Ah, lo admiras, ¿eh?","—Ah, usted… lo admira, ¿verdad? ~~~ —dijo él.",41,15,3,2.4,35.0,11.75,2.0,2.538690476190476,9.69535971483266,3.191786333700926,7,16,0.7833333333333332,0.2127857555800617,0.4666666666666667,1.0666666666666669
68,85,1.5842975179853005,0.7939814814814815,She waited.,–Esperó.,— Y esperó.,11,3,1,3.333333333333333,9.5,2.75,1.0,3.3541666666666665,2.0615528128088303,0.82915619758885,2,4,0.9166666666666666,0.2763853991962833,0.6666666666666666,1.3333333333333333
44,55,1.5620314973719691,0.7905092592592592,"There's a good picture of it,"""" he said.",-Ése es un buen ejemplo –dijo-.,—Ahí tienes una buena imagen de la vida —dijo—.,40,13,1,2.6923076923076925,37.0,9.5,1.0,3.361904761904762,7.3484692283495345,1.8027756377319943,7,12,0.7307692307692308,0.1386750490563073,0.5384615384615384,0.9230769230769232
77,94,1.5471874836297497,0.7881944444444445,Yes—here you are.,"Sí, acá estás.","Sí, aquí está.",17,4,1,3.75,15.0,5.0,1.0,2.7,1.224744871391589,0.7071067811865476,4,6,1.25,0.1767766952966369,1.0,1.5
110,132,1.5376449033668929,0.7867063492063492,"What are you doing here?"""" he said.",¿Qué está haciendo aquí? ~~~ –dijo-.,—dijo—.,35,11,2,2.8181818181818183,28.75,7.5,1.75,3.439709595959596,12.871965661856,3.3541019662496847,2,11,0.6818181818181819,0.3049183605681531,0.1818181818181818,1.0
191,228,1.482895553980002,0.7781685906685907,"We could probably fit you in late this afternoon, sir,"""" she said.","-Es probable que podamos anotarlo para última hora de la tarde, señor –dijo ella-.","—Seguramente lo podamos acomodar esta tarde a última hora, señor —dijo—.",66,17,1,3.3529411764705883,80.0,15.5,1.0,4.479991515837105,6.284902544988268,1.5,13,17,0.9117647058823528,0.088235294117647,0.7647058823529411,1.0
94,115,1.4337368071713494,0.7705026455026455,"""That upsets you?"" he said.",-¿Te molesta? ~~~ –dijo él.,—¿Y eso le molesta? ~~~ —dijo él.,27,9,2,2.7777777777777777,32.5,9.0,2.0,3.1214285714285714,4.330127018922194,1.224744871391589,7,10,1.0,0.1360827634879543,0.7777777777777778,1.1111111111111112
96,117,1.4273750869961122,0.769510582010582,"""It's—it's just such an honor.""",–dijo ella-. ~~~ Es… es un honor tan grande.,—dijo—. ~~~ Es… es todo un honor.,31,9,2,3.2222222222222223,32.25,9.25,1.75,2.894570707070707,7.361215932167728,1.0897247358851685,8,11,1.0277777777777777,0.1210805262094632,0.8888888888888888,1.2222222222222223
115,138,1.3642175899650268,0.7596616346616347,"""I sure am honored to be in it with you,"" she said.",-Estoy segura de sentirme honrada de estar en él con usted –dijo ella.,—Es un honor para mí estar junto a usted —dijo ella.,51,16,1,2.625,56.75,13.25,1.0,3.5939529220779223,10.18270592720815,1.920286436967152,11,16,0.828125,0.120017902310447,0.6875,1.0
11,13,1.3467932981097726,0.7569444444444444,The children would be his first.,Serían sus primeros hijos.,Quejada era padre primerizo.,32,7,1,3.857142857142857,30.25,5.75,1.0,4.626190476190477,4.14578098794425,0.82915619758885,5,7,0.8214285714285714,0.1184508853698357,0.7142857142857143,1.0
108,130,1.3319492843675522,0.7546296296296297,"Well, Miss Duncan!","-Caramba, ¡señorita Duncan!, ¡señorita Duncan!","—Pero bueno, ¡señorita Salomé!",18,5,1,3.2,31.25,6.75,1.25,4.208333333333333,8.814051281902097,1.299038105676658,6,9,1.35,0.2598076211353316,1.2,1.8
103,125,1.325764278641627,0.7536651234567902,"That is kind of like what I do,"""" she said.",-Es el tipo de cosa que yo hago –dijo ella.,—Es más o menos lo que hago —dijo.,43,14,1,2.571428571428572,42.5,11.75,1.0,2.963661338661338,6.422616289332565,1.920286436967152,9,14,0.8392857142857143,0.1371633169262251,0.6428571428571429,1.0
0,1,1.3022612568831111,0.75,2BR02B,2 B R 0 2 B,S3R0N0S3R,6,1,1,6.0,9.25,3.5,1.0,4.25,2.0463381929681126,2.5,1,6,3.5,2.5,1.0,6.0
93,114,1.300313399876213,0.7496962460197754,"""Gosh—"" she said, and she blushed and became humble—""that—that puts me right next to Dr. Hitz.""","–dijo-. ~~~ ¿Te gusta un poco? ~~~ -Caramba… -dijo ella, y se ruborizó y se puso humilde-. ~~~ Eso… eso me coloca cerca del Dr. Hitz.",—Madre mía —se sonrojó y dijo modestamente—: pero eso significaría estar junto al doctor Atiza.,95,24,3,3.5,105.5,25.25,3.0,3.610994787236363,15.913830462839549,5.402545696243577,17,31,1.0520833333333337,0.2251060706768157,0.7083333333333334,1.2916666666666667
