model,matched_samples,accuracy,precision,recall,f1_score,perm_test_pvalue,true_positives,true_negatives,false_positives,false_negatives
2br02b_bleu_5,234,0.5512820512820513,0.5,0.047619047619047616,0.08695652173913043,0.4898,5,124,5,100
2br02b_bleu_10,234,0.5512820512820513,0.5,0.09523809523809523,0.16,0.4068,10,119,10,95
2br02b_bleu_15,234,0.5683760683760684,0.5666666666666667,0.1619047619047619,0.2518518518518518,0.1177,17,116,13,88
2br02b_bleu_20,234,0.5598290598290598,0.525,0.2,0.2896551724137931,0.1838,21,110,19,84
2br02b_bleu_25,234,0.5470085470085471,0.49019607843137253,0.23809523809523808,0.32051282051282054,0.2964,25,103,26,80
2br02b_bleu_30,234,0.5555555555555556,0.5081967213114754,0.29523809523809524,0.37349397590361444,0.1682,31,99,30,74
2br02b_bleu_40,234,0.5555555555555556,0.5060240963855421,0.4,0.44680851063829785,0.119,42,88,41,63
2br02b_bleu_50,234,0.4829059829059829,0.42452830188679247,0.42857142857142855,0.4265402843601896,0.8027,45,68,61,60
2br02b_bleu_60,234,0.452991452991453,0.41353383458646614,0.5238095238095238,0.46218487394957986,0.9153,55,51,78,50
2br02b_bleu_70,234,0.47435897435897434,0.4430379746835443,0.6666666666666666,0.532319391634981,0.6608,70,41,88,35
2br02b_bleu_75,234,0.4700854700854701,0.44571428571428573,0.7428571428571429,0.5571428571428572,0.6265,78,32,97,27
2br02b_bleu_80,234,0.46153846153846156,0.44324324324324327,0.780952380952381,0.5655172413793104,0.6841,82,26,103,23
2br02b_bleu_85,234,0.4444444444444444,0.4371859296482412,0.8285714285714286,0.5723684210526315,0.8473,87,17,112,18
2br02b_bleu_90,234,0.452991452991453,0.4460093896713615,0.9047619047619048,0.5974842767295597,0.6914,95,11,118,10
2br02b_bleu_95,234,0.45726495726495725,0.45089285714285715,0.9619047619047619,0.6139817629179332,0.5058,101,6,123,4
2br02b_bertscore_5,234,0.5598290598290598,0.6,0.05714285714285714,0.10434782608695652,0.25,6,125,4,99
2br02b_bertscore_10,234,0.5512820512820513,0.5,0.09523809523809523,0.16,0.3906,10,119,10,95
2br02b_bertscore_15,234,0.5726495726495726,0.5757575757575758,0.18095238095238095,0.2753623188405797,0.0817,19,115,14,86
2br02b_bertscore_20,234,0.5811965811965812,0.5813953488372093,0.23809523809523808,0.33783783783783783,0.0351,25,111,18,80
2br02b_bertscore_25,234,0.5854700854700855,0.5689655172413793,0.3142857142857143,0.4049079754601227,0.0209,33,104,25,72
2br02b_bertscore_30,234,0.5555555555555556,0.5072463768115942,0.3333333333333333,0.40229885057471265,0.152,35,95,34,70
2br02b_bertscore_40,234,0.5427350427350427,0.4891304347826087,0.42857142857142855,0.45685279187817257,0.1906,45,82,47,60
2br02b_bertscore_50,234,0.5042735042735043,0.453781512605042,0.5142857142857142,0.48214285714285715,0.4929,54,64,65,51
2br02b_bertscore_60,234,0.5,0.4583333333333333,0.6285714285714286,0.5301204819277109,0.3995,66,51,78,39
2br02b_bertscore_70,234,0.5,0.4642857142857143,0.7428571428571429,0.5714285714285714,0.2667,78,39,90,27
2br02b_bertscore_75,234,0.5085470085470085,0.4722222222222222,0.8095238095238095,0.5964912280701754,0.1172,85,34,95,20
2br02b_bertscore_80,234,0.4829059829059829,0.45789473684210524,0.8285714285714286,0.5898305084745763,0.3382,87,26,103,18
2br02b_bertscore_85,234,0.4829059829059829,0.4603960396039604,0.8857142857142857,0.6058631921824105,0.2434,93,20,109,12
2br02b_bertscore_90,234,0.47435897435897434,0.45794392523364486,0.9333333333333333,0.6144200626959248,0.2482,98,13,116,7
2br02b_bertscore_95,234,0.47435897435897434,0.45982142857142855,0.9809523809523809,0.6261398176291794,0.0938,103,8,121,2
2br02b_comet_5,234,0.5641025641025641,0.6363636363636364,0.06666666666666667,0.1206896551724138,0.1602,7,125,4,98
2br02b_comet_10,234,0.5897435897435898,0.6666666666666666,0.17142857142857143,0.2727272727272727,0.0114,18,120,9,87
2br02b_comet_15,234,0.6153846153846154,0.6829268292682927,0.26666666666666666,0.3835616438356164,0.0012,28,116,13,77
2br02b_comet_20,234,0.6239316239316239,0.660377358490566,0.3333333333333333,0.4430379746835443,0.0004,35,111,18,70
2br02b_comet_25,234,0.6282051282051282,0.6363636363636364,0.4,0.49122807017543857,0.0002,42,105,24,63
2br02b_comet_30,234,0.6196581196581197,0.6052631578947368,0.4380952380952381,0.5082872928176796,0.0004,46,99,30,59
2br02b_comet_40,234,0.6025641025641025,0.5588235294117647,0.5428571428571428,0.5507246376811594,0.0018,57,84,45,48
2br02b_comet_50,234,0.5854700854700855,0.5307692307692308,0.6571428571428571,0.5872340425531914,0.0032,69,68,61,36
2br02b_comet_60,234,0.6111111111111112,0.5460526315789473,0.7904761904761904,0.6459143968871596,0.0001,83,60,69,22
2br02b_comet_70,234,0.5726495726495726,0.5142857142857142,0.8571428571428571,0.6428571428571429,0.0004,90,44,85,15
2br02b_comet_75,234,0.5470085470085471,0.4972972972972973,0.8761904761904762,0.6344827586206897,0.0029,92,36,93,13
2br02b_comet_80,234,0.5512820512820513,0.5,0.9238095238095239,0.6488294314381271,0.0002,97,32,97,8
2br02b_comet_85,234,0.5256410256410257,0.4852941176470588,0.9428571428571428,0.6407766990291263,0.0028,99,24,105,6
2br02b_comet_90,234,0.5,0.4719626168224299,0.9619047619047619,0.6332288401253918,0.0175,101,16,113,4
2br02b_comet_95,234,0.49145299145299143,0.46875,1.0,0.6382978723404256,0.0025,105,10,119,0
2br02b_bleurt_5,234,0.5641025641025641,0.6153846153846154,0.0761904761904762,0.13559322033898305,0.1648,8,124,5,97
2br02b_bleurt_10,234,0.594017094017094,0.6923076923076923,0.17142857142857143,0.2748091603053435,0.0072,18,121,8,87
2br02b_bleurt_15,234,0.5982905982905983,0.6222222222222222,0.26666666666666666,0.37333333333333335,0.0079,28,112,17,77
2br02b_bleurt_20,234,0.6068376068376068,0.6181818181818182,0.3238095238095238,0.425,0.0026,34,108,21,71
2br02b_bleurt_25,234,0.594017094017094,0.5735294117647058,0.37142857142857144,0.4508670520231214,0.0078,39,100,29,66
2br02b_bleurt_30,234,0.594017094017094,0.5641025641025641,0.41904761904761906,0.4808743169398907,0.0064,44,95,34,61
2br02b_bleurt_40,234,0.5897435897435898,0.5436893203883495,0.5333333333333333,0.5384615384615384,0.0063,56,82,47,49
2br02b_bleurt_50,234,0.5726495726495726,0.5193798449612403,0.638095238095238,0.5726495726495726,0.0106,67,67,62,38
2br02b_bleurt_60,234,0.5811965811965812,0.5228758169934641,0.7619047619047619,0.6201550387596899,0.0013,80,56,73,25
2br02b_bleurt_70,234,0.5341880341880342,0.4885057471264368,0.8095238095238095,0.6093189964157706,0.0253,85,40,89,20
2br02b_bleurt_75,234,0.5170940170940171,0.4782608695652174,0.8380952380952381,0.6089965397923875,0.0557,88,33,96,17
2br02b_bleurt_80,234,0.5170940170940171,0.4793814432989691,0.8857142857142857,0.6220735785953178,0.0254,93,28,101,12
2br02b_bleurt_85,234,0.5,0.47058823529411764,0.9142857142857143,0.6213592233009708,0.0561,96,21,108,9
2br02b_bleurt_90,234,0.49145299145299143,0.4672897196261682,0.9523809523809523,0.6269592476489029,0.0444,100,15,114,5
2br02b_bleurt_95,234,0.45726495726495725,0.45089285714285715,0.9619047619047619,0.6139817629179332,0.5032,101,6,123,4
2br02b_ter_5,234,0.5427350427350427,0.4,0.0380952380952381,0.06956521739130435,0.7319,4,123,6,101
2br02b_ter_10,234,0.5256410256410257,0.35,0.06666666666666667,0.112,0.8816,7,116,13,98
2br02b_ter_15,234,0.5427350427350427,0.4666666666666667,0.13333333333333333,0.2074074074074074,0.4911,14,113,16,91
2br02b_ter_20,234,0.5256410256410257,0.425,0.1619047619047619,0.23448275862068965,0.6913,17,106,23,88
2br02b_ter_25,234,0.5170940170940171,0.4230769230769231,0.20952380952380953,0.2802547770700637,0.7184,22,99,30,83
2br02b_ter_30,234,0.5,0.4032258064516129,0.23809523809523808,0.2994011976047904,0.8406,25,92,37,80
2br02b_ter_40,234,0.5085470085470085,0.4418604651162791,0.3619047619047619,0.39790575916230364,0.6221,38,81,48,67
2br02b_ter_50,234,0.47863247863247865,0.42342342342342343,0.44761904761904764,0.4351851851851852,0.8121,47,65,64,58
2br02b_ter_60,234,0.47435897435897434,0.43283582089552236,0.5523809523809524,0.48535564853556484,0.762,58,53,76,47
2br02b_ter_70,234,0.47863247863247865,0.44785276073619634,0.6952380952380952,0.5447761194029851,0.5769,73,39,90,32
2br02b_ter_75,234,0.47435897435897434,0.4482758620689655,0.7428571428571429,0.5591397849462365,0.5774,78,33,96,27
2br02b_ter_80,234,0.4700854700854701,0.4486486486486487,0.7904761904761904,0.5724137931034483,0.5681,83,27,102,22
2br02b_ter_85,234,0.4700854700854701,0.4517766497461929,0.8476190476190476,0.5894039735099338,0.4846,89,21,108,16
2br02b_ter_90,234,0.48717948717948717,0.4647887323943662,0.9428571428571428,0.6226415094339622,0.0861,99,15,114,6
2br02b_ter_95,234,0.47435897435897434,0.45982142857142855,0.9809523809523809,0.6261398176291794,0.0978,103,8,121,2
2br02b_levenshtein_5,234,0.5598290598290598,0.6,0.05714285714285714,0.10434782608695652,0.251,6,125,4,99
2br02b_levenshtein_10,234,0.5641025641025641,0.5714285714285714,0.11428571428571428,0.19047619047619047,0.1669,12,120,9,93
2br02b_levenshtein_15,234,0.5470085470085471,0.4838709677419355,0.14285714285714285,0.22058823529411764,0.4067,15,113,16,90
2br02b_levenshtein_20,234,0.5427350427350427,0.47619047619047616,0.19047619047619047,0.272108843537415,0.4103,20,107,22,85
2br02b_levenshtein_25,234,0.5341880341880342,0.46296296296296297,0.23809523809523808,0.31446540880503143,0.462,25,100,29,80
2br02b_levenshtein_30,234,0.5341880341880342,0.4714285714285714,0.3142857142857143,0.37714285714285717,0.3725,33,92,37,72
2br02b_levenshtein_40,234,0.5341880341880342,0.4782608695652174,0.41904761904761906,0.4467005076142132,0.2671,44,81,48,61
2br02b_levenshtein_50,234,0.5299145299145299,0.47863247863247865,0.5333333333333333,0.5045045045045045,0.2088,56,68,61,49
2br02b_levenshtein_60,234,0.5299145299145299,0.48226950354609927,0.6476190476190476,0.5528455284552846,0.1202,68,56,73,37
2br02b_levenshtein_70,234,0.49572649572649574,0.4601226993865031,0.7142857142857143,0.5597014925373134,0.3475,75,41,88,30
2br02b_levenshtein_75,234,0.5,0.46629213483146065,0.7904761904761904,0.5865724381625441,0.2077,83,34,95,22
2br02b_levenshtein_80,234,0.5,0.46842105263157896,0.8476190476190476,0.6033898305084746,0.1413,89,28,101,16
2br02b_levenshtein_85,234,0.5085470085470085,0.4752475247524752,0.9142857142857143,0.6254071661237784,0.031,96,23,106,9
2br02b_levenshtein_90,234,0.5,0.4716981132075472,0.9523809523809523,0.6309148264984227,0.0222,100,17,112,5
2br02b_levenshtein_95,234,0.4829059829059829,0.4642857142857143,0.9904761904761905,0.6322188449848024,0.0208,104,9,120,1
2br02b_cosine_5,234,0.5598290598290598,0.6,0.05714285714285714,0.10434782608695652,0.2484,6,125,4,99
2br02b_cosine_10,234,0.5769230769230769,0.65,0.12380952380952381,0.208,0.0471,13,122,7,92
2br02b_cosine_15,234,0.5470085470085471,0.4838709677419355,0.14285714285714285,0.22058823529411764,0.4132,15,113,16,90
2br02b_cosine_20,234,0.5641025641025641,0.5365853658536586,0.20952380952380953,0.3013698630136986,0.1399,22,110,19,83
2br02b_cosine_25,234,0.5470085470085471,0.49019607843137253,0.23809523809523808,0.32051282051282054,0.3049,25,103,26,80
2br02b_cosine_30,234,0.5299145299145299,0.4603174603174603,0.2761904761904762,0.34523809523809523,0.4816,29,95,34,76
2br02b_cosine_40,234,0.5427350427350427,0.48863636363636365,0.4095238095238095,0.44559585492227977,0.2048,43,84,45,62
2br02b_cosine_50,234,0.5128205128205128,0.45871559633027525,0.47619047619047616,0.4672897196261682,0.437,50,70,59,55
2br02b_cosine_60,234,0.5170940170940171,0.47058823529411764,0.6095238095238096,0.5311203319502075,0.2511,64,57,72,41
2br02b_cosine_70,234,0.5042735042735043,0.4662576687116564,0.7238095238095238,0.5671641791044776,0.2467,76,42,87,29
2br02b_cosine_75,234,0.5085470085470085,0.47126436781609193,0.780952380952381,0.5878136200716846,0.1498,82,37,92,23
2br02b_cosine_80,234,0.49572649572649574,0.4648648648648649,0.819047619047619,0.593103448275862,0.2109,86,30,99,19
2br02b_cosine_85,234,0.49145299145299143,0.4642857142857143,0.8666666666666667,0.6046511627906976,0.1811,91,24,105,14
2br02b_cosine_90,234,0.47435897435897434,0.45714285714285713,0.9142857142857143,0.6095238095238096,0.2911,96,15,114,9
2br02b_cosine_95,234,0.4829059829059829,0.4642857142857143,0.9904761904761905,0.6322188449848024,0.0219,104,9,120,1
"2br02b_bertscore,bleurt_5",234,0.5726495726495726,0.6923076923076923,0.08571428571428572,0.15254237288135594,0.0621,9,125,4,96
"2br02b_bertscore,bleurt_10",234,0.5726495726495726,0.6086956521739131,0.13333333333333333,0.21875,0.0743,14,120,9,91
"2br02b_bertscore,bleurt_15",234,0.5641025641025641,0.5428571428571428,0.18095238095238095,0.2714285714285714,0.149,19,113,16,86
"2br02b_bertscore,bleurt_20",234,0.5982905982905983,0.6078431372549019,0.29523809523809524,0.3974358974358974,0.0073,31,109,20,74
"2br02b_bertscore,bleurt_25",234,0.594017094017094,0.5806451612903226,0.34285714285714286,0.4311377245508982,0.0104,36,103,26,69
"2br02b_bertscore,bleurt_30",234,0.5897435897435898,0.5633802816901409,0.38095238095238093,0.45454545454545453,0.0127,40,98,31,65
"2br02b_bertscore,bleurt_40",234,0.5598290598290598,0.51,0.4857142857142857,0.4975609756097561,0.0638,51,80,49,54
"2br02b_bertscore,bleurt_50",234,0.5598290598290598,0.5079365079365079,0.6095238095238096,0.5541125541125541,0.03,64,67,62,41
"2br02b_bertscore,bleurt_60",234,0.5470085470085471,0.4966887417218543,0.7142857142857143,0.5859375,0.0305,75,53,76,30
"2br02b_bertscore,bleurt_70",234,0.5256410256410257,0.4827586206896552,0.8,0.6021505376344086,0.0451,84,39,90,21
"2br02b_bertscore,bleurt_75",234,0.5213675213675214,0.4810810810810811,0.8476190476190476,0.6137931034482759,0.0325,89,33,96,16
"2br02b_bertscore,bleurt_80",234,0.5170940170940171,0.4793814432989691,0.8857142857142857,0.6220735785953178,0.0234,93,28,101,12
"2br02b_bertscore,bleurt_85",234,0.49145299145299143,0.46568627450980393,0.9047619047619048,0.6148867313915858,0.1177,95,20,109,10
"2br02b_bertscore,bleurt_90",234,0.49145299145299143,0.4672897196261682,0.9523809523809523,0.6269592476489029,0.0483,100,15,114,5
"2br02b_bertscore,bleurt_95",234,0.47435897435897434,0.45982142857142855,0.9809523809523809,0.6261398176291794,0.0921,103,8,121,2
"2br02b_bertscore,bleu_5",234,0.5598290598290598,0.6,0.05714285714285714,0.10434782608695652,0.2502,6,125,4,99
"2br02b_bertscore,bleu_10",234,0.5683760683760684,0.6,0.11428571428571428,0.192,0.118,12,121,8,93
"2br02b_bertscore,bleu_15",234,0.5555555555555556,0.5161290322580645,0.1523809523809524,0.23529411764705882,0.2619,16,114,15,89
"2br02b_bertscore,bleu_20",234,0.5641025641025641,0.5348837209302325,0.21904761904761905,0.3108108108108108,0.1332,23,109,20,82
"2br02b_bertscore,bleu_25",234,0.5726495726495726,0.5471698113207547,0.2761904761904762,0.3670886075949367,0.0691,29,105,24,76
"2br02b_bertscore,bleu_30",234,0.5598290598290598,0.515625,0.3142857142857143,0.3905325443786982,0.1316,33,98,31,72
"2br02b_bertscore,bleu_40",234,0.5256410256410257,0.46511627906976744,0.38095238095238093,0.418848167539267,0.4009,40,83,46,65
"2br02b_bertscore,bleu_50",234,0.5,0.44545454545454544,0.4666666666666667,0.4558139534883721,0.5914,49,68,61,56
"2br02b_bertscore,bleu_60",234,0.4829059829059829,0.4411764705882353,0.5714285714285714,0.4979253112033195,0.6635,60,53,76,45
"2br02b_bertscore,bleu_70",234,0.4829059829059829,0.45121951219512196,0.7047619047619048,0.550185873605948,0.5102,74,39,90,31
"2br02b_bertscore,bleu_75",234,0.47435897435897434,0.44886363636363635,0.7523809523809524,0.5622775800711743,0.5603,79,32,97,26
"2br02b_bertscore,bleu_80",234,0.4658119658119658,0.44623655913978494,0.7904761904761904,0.570446735395189,0.6241,83,26,103,22
"2br02b_bertscore,bleu_85",234,0.4658119658119658,0.45,0.8571428571428571,0.5901639344262295,0.5428,90,19,110,15
"2br02b_bertscore,bleu_90",234,0.452991452991453,0.4460093896713615,0.9047619047619048,0.5974842767295597,0.6881,95,11,118,10
"2br02b_bertscore,bleu_95",234,0.4829059829059829,0.4642857142857143,0.9904761904761905,0.6322188449848024,0.0206,104,9,120,1
"2br02b_bleurt,levenshtein_5",234,0.5726495726495726,0.6923076923076923,0.08571428571428572,0.15254237288135594,0.0614,9,125,4,96
"2br02b_bleurt,levenshtein_10",234,0.5854700854700855,0.6538461538461539,0.1619047619047619,0.2595419847328244,0.0208,17,120,9,88
"2br02b_bleurt,levenshtein_15",234,0.5854700854700855,0.6111111111111112,0.20952380952380953,0.3120567375886525,0.0242,22,115,14,83
"2br02b_bleurt,levenshtein_20",234,0.5769230769230769,0.5625,0.2571428571428571,0.35294117647058826,0.049,27,108,21,78
"2br02b_bleurt,levenshtein_25",234,0.5854700854700855,0.5689655172413793,0.3142857142857143,0.4049079754601227,0.0218,33,104,25,72
"2br02b_bleurt,levenshtein_30",234,0.5982905982905983,0.5774647887323944,0.3904761904761905,0.4659090909090909,0.0056,41,99,30,64
"2br02b_bleurt,levenshtein_40",234,0.5641025641025641,0.5148514851485149,0.49523809523809526,0.5048543689320388,0.0469,52,80,49,53
"2br02b_bleurt,levenshtein_50",234,0.5341880341880342,0.48412698412698413,0.580952380952381,0.5281385281385281,0.1452,61,64,65,44
"2br02b_bleurt,levenshtein_60",234,0.5427350427350427,0.4931506849315068,0.6857142857142857,0.5737051792828686,0.0491,72,55,74,33
"2br02b_bleurt,levenshtein_70",234,0.5299145299145299,0.48554913294797686,0.8,0.60431654676259,0.0352,84,40,89,21
"2br02b_bleurt,levenshtein_75",234,0.5170940170940171,0.4782608695652174,0.8380952380952381,0.6089965397923875,0.0534,88,33,96,17
"2br02b_bleurt,levenshtein_80",234,0.5256410256410257,0.4845360824742268,0.8952380952380953,0.6287625418060201,0.0114,94,29,100,11
"2br02b_bleurt,levenshtein_85",234,0.5085470085470085,0.47549019607843135,0.9238095238095239,0.627831715210356,0.0241,97,22,107,8
"2br02b_bleurt,levenshtein_90",234,0.5,0.4719626168224299,0.9619047619047619,0.6332288401253918,0.0162,101,16,113,4
"2br02b_bleurt,levenshtein_95",234,0.4829059829059829,0.4642857142857143,0.9904761904761905,0.6322188449848024,0.0198,104,9,120,1
"2br02b_cosine,bleurt_5",234,0.5683760683760684,0.7,0.06666666666666667,0.12173913043478261,0.0896,7,126,3,98
"2br02b_cosine,bleurt_10",234,0.5726495726495726,0.6190476190476191,0.12380952380952381,0.20634920634920634,0.0781,13,121,8,92
"2br02b_cosine,bleurt_15",234,0.5982905982905983,0.6666666666666666,0.20952380952380953,0.3188405797101449,0.0047,22,118,11,83
"2br02b_cosine,bleurt_20",234,0.6153846153846154,0.6595744680851063,0.29523809523809524,0.40789473684210525,0.0002,31,113,16,74
"2br02b_cosine,bleurt_25",234,0.6025641025641025,0.59375,0.3619047619047619,0.44970414201183434,0.0042,38,103,26,67
"2br02b_cosine,bleurt_30",234,0.6025641025641025,0.581081081081081,0.4095238095238095,0.48044692737430167,0.0039,43,98,31,62
"2br02b_cosine,bleurt_40",234,0.594017094017094,0.5510204081632653,0.5142857142857142,0.5320197044334976,0.0055,54,85,44,51
"2br02b_cosine,bleurt_50",234,0.5854700854700855,0.5327868852459017,0.6190476190476191,0.5726872246696035,0.0052,65,72,57,40
"2br02b_cosine,bleurt_60",234,0.5555555555555556,0.503448275862069,0.6952380952380952,0.584,0.0218,73,57,72,32
"2br02b_cosine,bleurt_70",234,0.5256410256410257,0.4823529411764706,0.780952380952381,0.5963636363636363,0.0591,82,41,88,23
"2br02b_cosine,bleurt_75",234,0.5256410256410257,0.4835164835164835,0.8380952380952381,0.6132404181184669,0.0294,88,35,94,17
"2br02b_cosine,bleurt_80",234,0.5512820512820513,0.5,0.9238095238095239,0.6488294314381271,0.0002,97,32,97,8
"2br02b_cosine,bleurt_85",234,0.5170940170940171,0.4803921568627451,0.9333333333333333,0.6343042071197411,0.0074,98,23,106,7
"2br02b_cosine,bleurt_90",234,0.49145299145299143,0.4672897196261682,0.9523809523809523,0.6269592476489029,0.0481,100,15,114,5
"2br02b_cosine,bleurt_95",234,0.47435897435897434,0.45982142857142855,0.9809523809523809,0.6261398176291794,0.0932,103,8,121,2
"2br02b_cosine,bleu_5",234,0.5598290598290598,0.6,0.05714285714285714,0.10434782608695652,0.2485,6,125,4,99
"2br02b_cosine,bleu_10",234,0.5769230769230769,0.65,0.12380952380952381,0.208,0.0477,13,122,7,92
"2br02b_cosine,bleu_15",234,0.5726495726495726,0.5806451612903226,0.17142857142857143,0.2647058823529412,0.0852,18,116,13,87
"2br02b_cosine,bleu_20",234,0.5726495726495726,0.5609756097560976,0.21904761904761905,0.3150684931506849,0.0778,23,111,18,82
"2br02b_cosine,bleu_25",234,0.5854700854700855,0.5769230769230769,0.2857142857142857,0.3821656050955414,0.0255,30,107,22,75
"2br02b_cosine,bleu_30",234,0.5683760683760684,0.532258064516129,0.3142857142857143,0.39520958083832336,0.0809,33,100,29,72
"2br02b_cosine,bleu_40",234,0.5170940170940171,0.4523809523809524,0.3619047619047619,0.4021164021164021,0.5261,38,83,46,67
"2br02b_cosine,bleu_50",234,0.5085470085470085,0.4537037037037037,0.4666666666666667,0.460093896713615,0.5054,49,70,59,56
"2br02b_cosine,bleu_60",234,0.5085470085470085,0.4626865671641791,0.5904761904761905,0.5188284518828452,0.3571,62,57,72,43
"2br02b_cosine,bleu_70",234,0.49572649572649574,0.4585987261146497,0.6857142857142857,0.549618320610687,0.3858,72,44,85,33
"2br02b_cosine,bleu_75",234,0.4829059829059829,0.4540229885057471,0.7523809523809524,0.5663082437275986,0.4516,79,34,95,26
"2br02b_cosine,bleu_80",234,0.4829059829059829,0.45652173913043476,0.8,0.5813148788927336,0.3874,84,29,100,21
"2br02b_cosine,bleu_85",234,0.49145299145299143,0.46464646464646464,0.8761904761904762,0.6072607260726073,0.1632,92,23,106,13
"2br02b_cosine,bleu_90",234,0.47435897435897434,0.45714285714285713,0.9142857142857143,0.6095238095238096,0.2909,96,15,114,9
"2br02b_cosine,bleu_95",234,0.46153846153846156,0.452914798206278,0.9619047619047619,0.6158536585365854,0.3987,101,7,122,4
"2br02b_bleu,bleurt_5",234,0.5598290598290598,0.5833333333333334,0.06666666666666667,0.11965811965811966,0.2461,7,124,5,98
"2br02b_bleu,bleurt_10",234,0.5897435897435898,0.6956521739130435,0.1523809523809524,0.25,0.0096,16,122,7,89
"2br02b_bleu,bleurt_15",234,0.5811965811965812,0.6060606060606061,0.19047619047619047,0.2898550724637681,0.0375,20,116,13,85
"2br02b_bleu,bleurt_20",234,0.5641025641025641,0.5333333333333333,0.22857142857142856,0.32,0.1336,24,108,21,81
"2br02b_bleu,bleurt_25",234,0.5683760683760684,0.5344827586206896,0.29523809523809524,0.3803680981595092,0.085,31,102,27,74
"2br02b_bleu,bleurt_30",234,0.5854700854700855,0.5588235294117647,0.3619047619047619,0.4393063583815029,0.0213,38,99,30,67
"2br02b_bleu,bleurt_40",234,0.5641025641025641,0.5161290322580645,0.45714285714285713,0.48484848484848486,0.0593,48,84,45,57
"2br02b_bleu,bleurt_50",234,0.5683760683760684,0.5166666666666667,0.5904761904761905,0.5511111111111111,0.021,62,71,58,43
